PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN,PC1_ABS_COSSIM,PC1_ABS_PEARSON,PC1_ABS_SPEARMAN,PC1_COSSIM_ABS_RANK,PC1_PEARSON_ABS_RANK,PC1_SPEARMAN_ABS_RANK,EVENNESS_COSSIM,EVENNESS_PEARSON,EVENNESS_SPEARMAN,R2_PHENO_PCS,ADJ_R2_PHENO_PCS,LinearModel_NUM_SIG_VARS
Albumin,0.94,0.94,0,0.33,0.79,0.33,0.79,0,0.25,0,0.36,0.7059426331210461,0.00153282392933546,4.4654404132252575e-4,40,8,5,2.022434354496536,3.2841553475914265,3.252545560078018,0.00159219314482749,0.00145385538706843,11
Ankle_spacing_width,0.91,0.91,0.97,0.01,0.03,0.01,0.03,0.28,0.37,0.17,0.66,0.00392710388277343,0.00959963315873287,0.00791628480128577,17,28,28,3.346272644350708,3.346650890551853,3.323683138703999,0.00252558677966893,0.00238737835140989,12
Ankle_spacing_width_left,0.96,0.94,0.29,0.03,0.64,0.03,0.64,0.62,0.43,0.78,0.85,0.36697328632667414,0.01082622833205076,0.0109164585357703,40,32,32,2.3562659210592427,3.3068986864015826,3.30535016931819,0.00373431849988479,0.00359627755152203,13
Apolipoprotein_A,1,1,0.39,0.6,0.85,0.59,0.85,0.8,0.7,0.05,0.01,0.8714580751119224,0.01863088083511145,0.01827651274177635,40,38,38,1.9785495573024092,3.2720259833412744,3.273087542849863,0.00199843612380453,0.00186015465441025,6
Apolipoprotein_B,0.91,0.84,0.47,0.61,0.57,0.61,0.57,0.72,0.39,0.84,0.87,0.13415408876620555,0.00384530203270434,0.00334505891721122,40,20,20,2.5802215683273277,3.466576643764786,3.4380295078032006,8.609858579475046e-4,7.225467852989276e-4,10
Arm_fat_free_mass_left,1,1,0.94,0.99,0.72,0.99,0.72,0.55,0.71,0.6,0.98,0.5612228359713861,0.00379551933140575,0.00371686874845749,40,14,13,2.153628766761038,3.3775099778998823,3.4056676832316763,0.00262036891134129,0.00248217361593994,17
Arm_fat_free_mass_right,1,1,0.78,0.66,0.87,0.66,0.87,0.84,0.82,0.7,0.68,0.8415833649525224,0.00647699355837299,0.0064320458532363,40,24,23,2.046313061884841,3.350166048545441,3.372890847811959,0.00333109235600159,0.0031929955372818,17
Arm_predicted_mass_left,1,1,0.81,0.14,0.39,0.14,0.39,0.49,0.17,0.53,0.14,0.7937813600441512,0.00399727774383806,0.00419643609493757,40,16,17,2.0547755776800467,3.401035736331551,3.406658217132004,0.00272582970707271,0.0025876490241472,18
Arm_predicted_mass_right,1,1,0.51,0.88,0.52,0.88,0.52,0.06,0.18,0.42,0.61,0.9131025967352204,0.00203086493597723,0.00206495697905592,40,8,9,1.992757803356002,3.3848828003977585,3.3939831124578586,0.00253824075376675,0.00240003407882172,17
Aspartate_aminotransferase,0.96,0.96,0.96,0.92,0.37,0.92,0.37,0.13,0.09,0.34,0.32,0.06777427621246178,0.00649686018203717,0.0070135097736136,40,28,29,3.018150259950932,3.379361101168626,3.4045954979035935,0.00160682152647844,0.00146848579560399,9
