PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN,PC1_ABS_COSSIM,PC1_ABS_PEARSON,PC1_ABS_SPEARMAN,PC1_COSSIM_ABS_RANK,PC1_PEARSON_ABS_RANK,PC1_SPEARMAN_ABS_RANK,EVENNESS_COSSIM,EVENNESS_PEARSON,EVENNESS_SPEARMAN,R2_PHENO_PCS,ADJ_R2_PHENO_PCS,LinearModel_NUM_SIG_VARS
Alanine_aminotransferase,1,1,1,0.98,0.8,0.98,0.8,0.21,0.05,0.77,0.65,0.10543083203035586,0.01465777860275463,0.01353394816888618,40,38,38,2.776132776046032,3.339012522073607,3.3532925237586086,0.00186208549814599,0.00172378513623128,15
Albumin,0.99,0.97,0.58,0.44,0.99,0.44,0.99,0.24,0.17,0.04,0.04,0.9363770149976672,7.970872381161181e-4,0.00175625017311011,40,4,9,1.9719015606578427,3.335394294066132,3.3638290103642805,0.001947266928387,0.00180897836907234,14
Alkaline_phosphatase,1,1,0,0.35,0.93,0.35,0.93,0.93,0.77,0.92,0.24,0.9027659767000462,0.00553314141993694,0.00375083305274678,40,32,28,1.9817706502411112,3.172667419815903,3.3153486105402723,0.00155085871871093,0.00141251523372121,6
Ankle_spacing_width,1,0.99,0,0.56,0.63,0.55,0.63,0.49,0.67,0.03,0.06,0.5460669695586485,0.00808460743699183,0.00683815655815102,40,28,25,2.12037167624482,3.3165036035694304,3.262585716431898,0.0024637454999408,0.00232552850305489,14
Ankle_spacing_width_left,0.99,0.99,0.98,0.17,0.63,0.17,0.63,0.81,0.79,0.59,0.63,0.12831848922138872,0.00770510848427027,0.00787891735159429,40,29,30,2.7289773504738317,3.2868707161411383,3.284971932343835,0.00257586353458723,0.00243766207259343,10
Ankle_spacing_width_right,0.95,0.95,0.24,0.45,0.96,0.45,0.96,0.87,0.74,0.24,0.16,0.5494898532852374,0.00517465564162517,0.00593447201086567,40,21,28,2.188520809577956,3.279254378957907,3.260700791012972,0.00350217958650291,0.00336410647335083,12
Apolipoprotein_A,0.98,0.97,0.17,0.65,0.7,0.65,0.7,0,0,0,0,0.8047557649568574,0.01928321656883029,0.01936897030458022,40,37,37,2.014673455947285,3.0718615179106643,3.109739832240217,0.00203378481389354,0.00189550824235595,5
Apolipoprotein_B,1,1,0,0.79,0,0.79,0,0.16,0.13,0.16,0.04,0.48031821984238326,0.00406964188188085,0.00375252462226608,40,21,22,2.1216728636442457,3.4360213402322324,3.447015542449628,9.35161218512574e-4,7.967324234811057e-4,7
Arm_fat_free_mass_left,1,0.99,0,0.26,0,0.27,0,0.35,0.29,0.33,0.19,0.6029403786816261,0.00280172691769631,0.00258730388817418,40,14,12,2.135124258781951,3.3672240046077193,3.404367826186156,0.00247823092400925,0.00234001593420007,18
Arm_fat_free_mass_right,1,1,0,0.63,0,0.63,0,0.87,0.7,0.75,0.79,0.8564789217245695,0.00126401832787132,0.00134586998996582,40,7,8,2.034586694778927,3.349542169898001,3.3499850070505963,0.00262151688833503,0.00248332175199539,17
Arm_fat_mass_left,1,1,0,1,0.14,1,0.14,0.78,0.92,0.89,0.87,0.9486008792405742,0.0030764477608619,0.00268566308258627,40,18,17,1.9586611588795872,3.2720887402771757,3.280335922840813,0.00231499862560375,0.00217676101859354,12
Arm_fat_mass_right,1,1,0,0.78,0,0.78,0,0.74,0.7,0.42,0.18,0.8941605452774911,0.00490837565285785,0.00480560774946314,40,25,25,1.9672143842088112,3.308096549445579,3.3116675571214933,0.00224242220006746,0.00210417453698597,14
Arm_fat_percentage_left,0.97,0.94,0.37,0.31,0.54,0.31,0.54,0.87,0.89,0.71,0.4,0.9447882562572671,0.00753047047847162,0.00661146391729956,40,31,26,1.9480351253051216,3.4091768154488538,3.423233142366357,0.00128939072626727,0.00115101101269887,11
Arm_fat_percentage_right,0.9,0.89,0.86,0.16,0.72,0.16,0.72,0.13,0.16,0.22,0.21,0.9596013663255056,0.00883676354679138,0.00816739705924205,40,30,30,1.9462115489103269,3.339093311780497,3.3457579967000655,0.00222678140700622,0.00208853157676203,15
Arm_predicted_mass_left,0.99,0.87,0,0.53,0.52,0.53,0.52,0.33,0.36,0,0,0.8267384819058995,0.00193923362329115,0.00133418355887531,40,10,6,2.0384296237676938,3.372805200875216,3.373961600894475,0.00233078674745958,0.00219255132802576,17
Arm_predicted_mass_right,1,1,0,0.65,0.37,0.65,0.37,0.26,0.25,0.48,0.2,0.780655453213564,0.00249876572210129,0.00248060603857417,40,13,12,2.0668237168097723,3.322912622675509,3.3773980704392517,0.00254760938538935,0.00240940400854661,20
Aspartate_aminotransferase,0.99,0.99,0.15,0.94,0.04,0.94,0.04,0.93,0.92,0.6,0.66,0.33229661940533767,0.00575851551728749,0.00616417233475006,40,26,28,2.255145412240887,3.3715193594578827,3.396564284368667,0.00160254459135136,0.00146420826787174,10
Basal_metabolic_rate,1,1,0.34,0.12,0.2,0.12,0.2,0.38,0.16,0.1,0,0.850805658291332,0.00352931828511681,0.00365063537486591,40,18,19,2.028348059992461,3.294215082293238,3.2737137079387626,0.00310029115453895,0.00296216235638102,17
Birth_weight,0.96,0.96,0.41,0.77,0.17,0.75,0.17,0.6,0.65,0.62,0.51,0.5307517727426265,0.00891466594308755,0.00822846427014687,40,32,32,2.1693640902040072,3.186800369244032,3.2514331521940205,0.00423385120073638,0.00409587946681011,13
