N_SNPS,N_TARGET_SNPS,MAX_MAG_BKGRD,MEDIAN_MAG_BKGRD,AVE_MAG_BKGRD,BETA_WILCOX_PVAL,VAR_BKGRD,SUM_BKGRD,MAX_MAG_TARGET,MEDIAN_MAG_TARGET,AVE_MAG_TARGET,VAR_TARGET,SUM_TARGET,SUM_RATIO_TARGET_BKGRD,SENSITIVITY_METRIC
0.15776203383343362,0.14228569683159795,0.03481232933599518,-0.09268920495935314,-0.0563605038602358,0.05488800095571322,-0.004538054147907874,0.14784099501755088,0.05460626737366626,-0.03457714003749209,-0.02276289386219162,-0.018650983022040983,0.1621885639507883,0.09090186222940524,PEARSON_CORR
0.14934452072742882,0.13818199591270927,0.05728976644139793,-0.013880934236396513,0.015462489770698952,0.07043500869856012,0.042220203047045414,0.15988070442205457,0.11222886018506424,0.020941390524483586,0.04357499532125233,0.05884664704163902,0.16621983014828673,0.08468610676756252,SPEARMAN_RHO
-0.03292348777330477,0.07830597193907823,-0.15464976658006815,0.001728468735078063,-0.063982497403849,0.027993088156046016,-0.09987204061908109,-0.1681239570197291,0.019628631754684184,0.0013667801813777064,-0.012501736835071992,-0.007969734458385978,0.03189335492974826,0.2043459202908515,COSINE_SIM
0.29234438922814243,0.31441348525643215,0.032745326198194806,0.07532409404458044,0.04620943662438538,-0.04849006468068654,-0.05300295844756082,0.30905964758037086,0.33219257550363634,0.16034451032903782,0.20031356862157249,0.18785316244871558,0.4280914450685725,0.1937407884714785,TOP10PCT_PREV
-0.07148170652555166,0.07580353063750686,0.020025363238375143,0.01569896182742389,0.0029088150663799943,0.029205132437301252,-0.057077116995468496,-0.0435902811539862,0.2176402532368062,0.04437125847107603,0.06910946857340794,0.0316443511245062,0.19504811297804633,0.24829146373526373,TOP1PCT_PREV
0.29235440691342623,0.31427152705255346,0.03456110361958962,0.07831141557884633,0.049136572578170584,-0.04884552713413429,-0.050199014217052085,0.3109608785961985,0.33195797991899834,0.16328707188035194,0.20228966465660925,0.18899150492146424,0.42839288140533266,0.19340080093425094,TOP10PCT_OR
-0.07141761569308296,0.07626998217579269,0.020134858318281934,0.015961402698987364,0.0032692081232547103,0.029577809671098024,-0.05708216163174212,-0.04306466010914337,0.21954662120964283,0.04480528287376978,0.06957898294183686,0.03197324388311507,0.19613723912328798,0.24856143941030537,TOP1PCT_OR
-0.051536814932321616,0.12634427151309996,-0.055910416310206976,-0.231452640508465,-0.21785241840404396,-0.02825177068123056,-0.10210806078752103,-0.24565441767198656,-0.09514112354823279,-0.1856999133493956,-0.18388486628212128,-0.1723004764025402,0.08852227229210079,0.2545813872842335,PERCENTILE_AVE_PREV_SLOPE
-0.033420462445791825,0.13439489058565376,-0.06874787999579567,-0.22488828526978386,-0.2263419947575896,0.06205296250812998,-0.1268025695744667,-0.23522161113022433,-0.11612377760265796,-0.16556781279896562,-0.1862546228924113,-0.20269381506650896,0.10390007112596304,0.26279225357973235,PERCENTILE_AVE_PREV_SPEARMAN
0.041864100831307635,0.23680739351657842,-0.09891870941317066,-0.3911376574193121,-0.3741388899741409,0.08234937944244583,-0.20879448348321283,-0.21795782224870386,-0.1878010004125652,-0.3280855561360326,-0.33854144526522834,-0.365935844034038,0.16579448095321417,0.34599460126342174,PERCENTILE_AVE_PHENO_SLOPE
0.07603684348004078,0.2557020774194143,-0.15349604818766302,-0.29120105131802676,-0.2942656485783497,0.0972961544451136,-0.24157539523959407,-0.1387396646866041,-0.07188115450601693,-0.20387500211617518,-0.2229228895865899,-0.2645745081113898,0.23415255468416526,0.3463653811025236,PERCENTILE_AVE_PHENO_SPEARMAN
