N_SNPS,N_TARGET_SNPS,MAX_MAG_BKGRD,MEDIAN_MAG_BKGRD,AVE_MAG_BKGRD,BETA_WILCOX_PVAL,VAR_BKGRD,SUM_BKGRD,MAX_MAG_TARGET,MEDIAN_MAG_TARGET,AVE_MAG_TARGET,VAR_TARGET,SUM_TARGET,SUM_RATIO_TARGET_BKGRD,SENSITIVITY_METRIC
0.009467094341123784,0.004967621523601943,0.9029219378360291,0.8666440889770983,0.8611975468454058,0.10466774120503658,0.48320255572405746,0.009036335361654477,0.2033105390596559,0.7744582415827241,0.93646042205705,0.930992389811783,0.0033294066206029753,0.08921505184952754,PEARSON_CORR
0.0037427815289020473,0.0020923445228742538,0.8039424619328149,0.8156348967739913,0.8815996877899478,0.16577970481016746,0.5530390501265737,0.0025907131088093267,0.16303167480560785,0.8420244183282798,0.882975943987142,0.9320298613664704,0.00107123788544055,0.065335606714254,SPEARMAN_RHO
0.9237929350534201,0.3728788287142951,0.08680547932708223,0.7022883500044581,0.48001820327820255,0.17087860425291,0.2873771726258945,0.35929937661457256,0.42895184493850436,0.5010701886785547,0.6389490504859527,0.5850731872932,0.44965101847050715,0.021532803938640085,COSINE_SIM
0.004912728163291461,0.0010211659011038052,0.3533137372541254,0.33660763832784346,0.3059165006203343,0.3418517961101398,0.11501190846320064,0.00583903533843876,0.3282469624936345,0.2256454054946598,0.4478525392048629,0.28241797076633307,1.6495035273996451e-4,0.027885589521758243,TOP10PCT_PREV
0.4395503559942716,0.994828988140283,0.26294250488630144,0.27088507648254045,0.258893402137826,0.1966469639973571,0.552898525244251,0.9110730837506906,0.25748990238834274,0.39309386582377337,0.31034008781910705,0.2972982198015272,0.33787753089034767,0.5823531178977814,TOP1PCT_PREV
0.0044353947992722955,9.210803322426381e-4,0.3471142108146168,0.3215936384276351,0.29339317610991844,0.33343049342858044,0.11084993051606408,0.005615201831153216,0.3368108653501327,0.2093311973669489,0.41985993245152353,0.2626695924435409,1.6095801538828486e-4,0.028585861989740818,TOP10PCT_OR
0.4407476765193923,0.9920966352990312,0.26236876071851445,0.26929289384320254,0.25742808416487845,0.19590637602995095,0.5523881752786484,0.9056347312668951,0.2508023588202531,0.39070618196115847,0.3074699121877639,0.2944503444357353,0.3331390871536506,0.5798720772827404,TOP1PCT_OR
0.2932249770251693,0.9263784509939155,0.33168021655106106,0.43889852458701173,0.7071542893606181,0.37725309432182086,0.5364337790610662,0.21325045186896036,0.3587751195720854,0.9436998313743978,0.6974963629544606,0.614384444434481,0.9141809329156945,0.4326202603556898,PERCENTILE_AVE_PREV_SLOPE
0.1517430075041161,0.30528353362664246,0.2975440449406358,0.7292332031480582,0.9832364292825921,0.5880744958235575,0.42837878261208806,0.18337121628313086,0.7266783413402089,0.8323171463240804,0.6048526098595661,0.3718224967042566,0.3072745268911552,0.4660716583894957,PERCENTILE_AVE_PREV_SPEARMAN
0.8671743924790088,0.6349489722153272,0.44724511695283453,0.023818416685405474,0.07951118618526282,0.9083690837518876,0.8149856953421417,0.36978285383261533,0.8671672455064996,0.271344968759232,0.1360465911471648,0.14901663735216775,0.720016653678534,0.2809002152560127,PERCENTILE_AVE_PHENO_SLOPE
0.7648983446029579,0.8655381655102947,0.7122876739877335,0.23522713744524615,0.3920016546409725,0.5918955618308765,0.5231682275032303,0.6214258013799161,0.803671210616324,0.5407372972152242,0.29130775777195406,0.2674962877458861,0.8164587447694956,0.8144234544869459,PERCENTILE_AVE_PHENO_SPEARMAN
