N_SNPS,N_TARGET_SNPS,MAX_MAG_BKGRD,MEDIAN_MAG_BKGRD,AVE_MAG_BKGRD,BETA_WILCOX_PVAL,VAR_BKGRD,SUM_BKGRD,MAX_MAG_TARGET,MEDIAN_MAG_TARGET,AVE_MAG_TARGET,VAR_TARGET,SUM_TARGET,SUM_RATIO_TARGET_BKGRD,SENSITIVITY_METRIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEARSON_CORR
0.11435523322844773,0.0927326640468732,0.6885764255886039,0.8151936997890887,0.9202177987164901,0.08476416639889381,0.8674174932577301,0.16905058179937502,0.3153382846788001,0.8937596686563629,0.7893671882827409,0.7133465801052743,0.08631740870363186,0.1308140893403206,SPEARMAN_RHO
0.9674838508935538,0.04993192598164252,0.04322179538062073,0.26204756007271435,0.09585165436774949,0.2589260045802012,0.05213537007000828,0.005899829278835062,0.43308453035657957,0.3637958709454082,0.3699760673918858,0.37072318064942866,0.032359042341709957,9.389820556271475e-5,COSINE_SIM
2.740016286752913e-4,5.368106436089326e-11,0.26459032705575036,0.6258237433245608,0.8591598474489363,3.169743957434149e-8,0.9382952946092984,0.014805766441642682,4.078581339701384e-4,0.2822843907554144,0.15226707260891645,0.1553690768769912,1.400420897875515e-17,2.1738727365961857e-10,TOP10PCT_PREV
0.07806934117876581,1.3512516957276002e-5,0.6009837891442722,0.7068654844800669,0.5420529418594842,0.001998199992758845,0.5326839500072426,0.9445994522678627,0.06373155232149612,0.8104403487700201,0.7505764664504355,0.8056996400208768,6.633921679798352e-7,7.747431455774408e-7,TOP1PCT_PREV
2.8205483157582177e-4,5.95344845330086e-11,0.2649370496087199,0.62352473182403,0.8579358777857058,3.4748339399992867e-8,0.937403099134854,0.014971125029223474,3.95843596449862e-4,0.27777817140221445,0.15012056512904157,0.15293531366409163,1.5556018046761274e-17,2.336106108787501e-10,TOP10PCT_OR
0.07797696293304042,1.350210701423377e-5,0.6139486455591621,0.7218419660329047,0.5546361502938504,0.0019474804264140453,0.5436561656570615,0.9555254544191436,0.060424873135240774,0.7955543636153377,0.7362650845398675,0.7918132202225061,6.404133264054598e-7,7.845758858118251e-7,TOP1PCT_OR
0.17026123892677478,3.543103122045322e-5,0.012111734203921575,0.036427122830387404,0.014333450067473401,0.0021950755654656018,0.007581554634963891,0.026953899538065675,0.9532321615564703,0.14361724240938636,0.07134278465165324,0.031638296406316525,8.853593519313977e-5,5.321937841109926e-9,PERCENTILE_AVE_PREV_SLOPE
0.4755601599749807,6.878326487783645e-4,0.0012213918375656185,0.014315664318209693,0.004909150461838256,0.02987710421674063,0.0026389093002475617,0.0013863436600071463,0.5429745731666473,0.11871345350388442,0.03627076896914304,0.013146346162131726,0.0023866065629923818,1.0194717038991259e-7,PERCENTILE_AVE_PREV_SPEARMAN
0.2503206343258943,2.1022849449648472e-5,3.784778026034397e-4,4.6212696079681433e-4,2.6060379507832386e-4,0.012917173387014388,1.5361584652109808e-4,8.882288507343153e-4,0.2136240075203384,0.008304526284842292,0.002101661739627456,5.74649584166669e-4,4.768074462524633e-4,2.9608088624572153e-10,PERCENTILE_AVE_PHENO_SLOPE
0.06293220956259182,1.6618808703434221e-07,7.252548126062678e-4,0.001813709889833749,4.8169540598732294e-4,4.5766887093636903e-4,1.548469463808837e-4,0.008163564546121726,0.5091501075829823,0.02214449769874495,0.009396189950701656,0.0034529360347481763,1.9456254793348087e-6,6.123863493192849e-13,PERCENTILE_AVE_PHENO_SPEARMAN
