PRS_ID,CUTOFF_1e-6,CUTOFF_1e-7,CUTOFF_1e-8,CUTOFF_1e-10
PGS000099,10.67,10.86,10.97,11
PGS000174,9.01,9.61,9.790000000000001,10.15
PGS001219,11,11,11,11
PGS001989,11,11,11,11
PGS002206,10.93,10.99,10.98,11
PGS002339,10.62,10.76,10.94,11
PGS002371,8.72,8.540000000000001,9.09,9.76
PGS002411,10.84,10.87,10.97,10.99
PGS002460,11,11,11,11
PGS002509,11,10.99,11,11
PGS002558,10,10.28,10.69,10.9
PGS002607,10.67,10.92,10.94,11
PGS002656,10.63,10.9,10.86,10.81
PGS002705,11,11,11,11
PGS003560,10.9,10.99,10.98,11
Lenient,5.76,5.53,5.71,NA
Stringent,NA,NA,NA,6.7299999999999995
