PRS_ID,CUTOFF_1e-6,CUTOFF_1e-7,CUTOFF_1e-8,CUTOFF_1e-10
PGS000099,10.41,10.89,11,11
PGS000174,7.9,8.91,9.25,9.82
PGS001219,11,11,11,11
PGS001989,11,11,11,11
PGS002206,10.91,10.98,11,10.99
PGS002339,10.46,10.98,11,11
PGS002371,10.2,10.29,10.26,10.46
PGS002411,10.75,10.89,10.95,10.99
PGS002460,10.94,10.98,10.99,11
PGS002509,10.92,10.98,10.99,10.99
PGS002558,9.15,10.24,10.55,10.89
PGS002607,9.95,10.65,10.78,10.98
PGS002656,10.58,10.91,10.89,11
PGS002705,11,11,11,11
PGS003560,10.96,10.98,10.96,11
Lenient,3.87,5,4.96,NA
Stringent,NA,NA,NA,3.77
