PRS_ID,CUTOFF_1e-6,CUTOFF_1e-7,CUTOFF_1e-8,CUTOFF_1e-10
PGS000099,10.69,10.96,11,11
PGS000174,9.08,9.82,10.21,10.5
PGS001219,11,11,11,11
PGS001989,11,11,11,11
PGS002206,10.95,10.99,11,10.99
PGS002339,10.78,11,11,11
PGS002371,10.4,10.629999999999999,10.49,10.62
PGS002411,10.87,10.96,10.99,11
PGS002460,10.97,10.98,10.99,11
PGS002509,10.95,11,11,11
PGS002558,9.76,10.62,10.78,10.96
PGS002607,10.5,10.79,10.86,10.98
PGS002656,10.81,10.95,10.94,11
PGS002705,11,11,11,11
PGS003560,11,11,10.96,11
Lenient,5.16,6.28,6.21,NA
Stringent,NA,NA,NA,5.609999999999999
