PRS_ID,CUTOFF_1e-6,CUTOFF_1e-7,CUTOFF_1e-8,CUTOFF_1e-10
PGS000099,0.69,0.96,1,1
PGS000174,0.3,0.62,0.61,0.56
PGS001219,1,1,1,1
PGS001989,1,1,1,1
PGS002206,0.98,0.99,1,0.99
PGS002339,0.78,1,1,1
PGS002371,0.89,0.9,0.9,0.88
PGS002411,0.94,0.97,0.99,1
PGS002460,0.97,0.98,0.99,1
PGS002509,0.95,1,1,1
PGS002558,0.66,0.83,0.87,0.98
PGS002607,0.81,0.9,0.9,0.99
PGS002656,0.84,0.95,0.94,1
PGS002705,1,1,1,1
PGS003560,1,1,0.98,1
Lenient,0,0.01,0,NA
Stringent,NA,NA,NA,0.17
