PRS_ID,CUTOFF_1e-6,CUTOFF_1e-7,CUTOFF_1e-8,CUTOFF_1e-10
PGS000099,0.42,0.89,1,1
PGS000174,0,0.28,0.13,0
PGS001219,1,1,1,1
PGS001989,1,1,1,1
PGS002206,0.96,0.98,1,0.99
PGS002339,0.46,0.98,1,1
PGS002371,0.77,0.72,0.78,0.81
PGS002411,0.88,0.94,0.98,0.99
PGS002460,0.94,0.98,0.99,1
PGS002509,0.92,0.98,0.99,0.99
PGS002558,0.48,0.66,0.77,0.94
PGS002607,0.66,0.85,0.87,0.99
PGS002656,0.66,0.93,0.9,1
PGS002705,1,1,1,1
PGS003560,0.96,0.98,0.98,1
Lenient,0,0,0,NA
Stringent,NA,NA,NA,0.02
