PHENOTYPE,N_SNPS,N_TARGET_SNPS,MAX_MAG_BKGRD,MEDIAN_MAG_BKGRD,AVE_MAG_BKGRD,BETA_WILCOX_PVAL,VAR_BKGRD,SUM_BKGRD,MAX_MAG_TARGET,MEDIAN_MAG_TARGET,AVE_MAG_TARGET,VAR_TARGET,SUM_TARGET,SUM_RATIO_TARGET_BKGRD
Alanine_aminotransferase,280,17,0.226757523748603,0.0208060725790751,0.02858101747878915,0.9756819496503525,0.0014749632534729689,7.516807596921546,0.0426915613093054,0.0181055442164219,0.020821539190933342,5.356793380370078e-4,0.3539661662458668,0.047089959624725675
Albumin,199,10,0.272145737287138,0.0236894606009564,0.03533210698009731,0.9613333031790035,0.0025125727656656843,6.677768219238391,0.0636179032032618,0.01858571017071815,0.02470931984325627,7.022819660592526e-4,0.2470931984325627,0.03700236221447411
Alkaline_phosphatase,466,35,1.47684668633624,0.0228048637435915,0.038354808649848277,0.999998612341391,0.00813279705451864,16.53092252808461,0.0550145516253126,0.015389435183873,0.020880990954358254,5.830281222431108e-4,0.7308346834025389,0.04421015718638291
Ankle_spacing_width_left,204,11,0.28465112978022,0.0286839463703232,0.036971249848009605,0.9373965929390298,0.0020474602545966286,7.135451220665854,0.0838033676048837,0.0242199487833184,0.0328921386338292,0.0016375733098651262,0.3618135249721212,0.05070646743743812
Ankle_spacing_width,449,31,0.31558785674082,0.02232630512803105,0.029760992048960294,0.9998965588810477,0.0014664795702621193,12.440094676465403,0.0645707883897351,0.0164615282345305,0.023293675734162002,7.608530360463696e-4,0.722103947759022,0.05804649936669075
Ankle_spacing_width_right,256,13,0.277645959359789,0.0289181048591158,0.036948446321954646,0.9070052305603401,0.001998357195205015,8.97847245623498,0.0662461070194071,0.0252830848099165,0.03249425061637331,0.0011771996842850133,0.422425258012853,0.047048677831550895
Apolipoprotein_A,311,15,0.330372779543103,0.023565657662401998,0.03767545321292189,0.9878713813091068,0.0027889219610036696,11.15193415102488,0.0534565787767845,0.0188822162613883,0.022212730378090875,6.566632007750914e-4,0.3331909556713631,0.029877414191935694
Apolipoprotein_B,418,20,1.00244234061176,0.0254096496552305,0.04878638994779687,0.9999516890757697,0.008967452320819368,19.416983199223154,0.0547121932335629,0.0153654886423024,0.020740282062791975,5.450551544326533e-4,0.4148056412558395,0.02136303240311993
Arm_fat_free_mass_left,529,29,0.111625857898841,0.01343314052967855,0.016102798320039063,0.9999733381316949,3.588035752242726e-4,8.051399160019532,0.0314398458615065,0.00938451734397213,0.012517807527009196,2.0481234295949548e-4,0.36301641828326664,0.04508737066296264
Arm_fat_free_mass_right,637,34,0.110966447491288,0.012630690309017,0.01567846616955826,0.9999999711117832,3.4232025573111235e-4,9.45411510024363,0.0279191110350526,0.009202237034251989,0.010722261065674444,0.00013893188537482731,0.3645568762329311,0.038560655584099726
Arm_fat_mass_left,502,27,0.10310926528788,0.016787501638643,0.020647050365059427,0.978655188280236,5.662259862868177e-4,9.807348923403229,0.0906676420237141,0.0145266476878351,0.020635623530672397,6.135479335327911e-4,0.5571618353281547,0.056810646758840413
Arm_fat_mass_right,435,28,0.213328163625254,0.0165804858438519,0.020470622062772656,0.7021920682760596,6.249494325596097e-4,8.33154317954847,0.0452325791587136,0.0169451724819228,0.02077419189573754,5.306878418872325e-4,0.58167737308065115,0.06981628259558216
Arm_fat_percentage_left,169,8,0.0768583052985356,0.0141319032708332,0.017465703000478634,0.993223606971064,3.9648363680236935e-4,2.81197818307706,0.0220103210663012,0.01052574241474172,0.012218382306674087,1.4447137802889215e-4,0.0977470584533927,0.034760959043583735
Arm_fat_percentage_right,108,8,0.0770127781830309,0.01508461297028455,0.018865338238693442,0.965039987828134,4.8164162547842724e-4,1.886533823869344,0.0217297407834551,0.013077250745315901,0.013654833444861618,2.348703066632936e-4,0.10923866755889294,0.057904430960501296
