Metric,Cutoff90,Cutoff95,Cutoff99
PEARSON_CORR,65,62,51
SPEARMAN_RHO,65,63,48
COSINE_SIM,10,8,4
TOP10PCT_PREV,17,15,4
TOP1PCT_PREV,5,2,1
TOP10PCT_OR,17,15,4
TOP1PCT_OR,5,2,1
PERCENTILE_AVE_PREV_SLOPE,9,4,0
PERCENTILE_AVE_PREV_SPEARMAN,8,5,0
PERCENTILE_AVE_PHENO_SLOPE,9,5,1
PERCENTILE_AVE_PHENO_SPEARMAN,9,7,2
