Metric,Cutoff90,Cutoff95,Cutoff99
PEARSON_CORR,96,88,61
SPEARMAN_RHO,93,84,59
COSINE_SIM,11,8,5
TOP10PCT_PREV,16,13,4
TOP1PCT_PREV,11,5,0
TOP10PCT_OR,16,13,4
TOP1PCT_OR,11,5,0
PERCENTILE_AVE_PREV_SLOPE,12,4,1
PERCENTILE_AVE_PREV_SPEARMAN,10,3,0
PERCENTILE_AVE_PHENO_SLOPE,9,6,1
PERCENTILE_AVE_PHENO_SPEARMAN,4,1,0
