Metric,Cutoff90,Cutoff95,Cutoff99
PEARSON_CORR,103,103,97
SPEARMAN_RHO,103,103,97
COSINE_SIM,26,23,18
TOP10PCT_PREV,74,68,51
TOP1PCT_PREV,22,20,8
TOP10PCT_OR,74,68,51
TOP1PCT_OR,22,20,8
PERCENTILE_AVE_PREV_SLOPE,34,29,16
PERCENTILE_AVE_PREV_SPEARMAN,33,25,12
PERCENTILE_AVE_PHENO_SLOPE,31,23,11
PERCENTILE_AVE_PHENO_SPEARMAN,32,26,12
