Metric,Cutoff90,Cutoff95,Cutoff99
PEARSON_CORR,64,53,30
SPEARMAN_RHO,62,53,30
COSINE_SIM,13,8,3
TOP10PCT_PREV,17,11,3
TOP1PCT_PREV,5,3,1
TOP10PCT_OR,17,11,3
TOP1PCT_OR,5,3,1
PERCENTILE_AVE_PREV_SLOPE,7,4,0
PERCENTILE_AVE_PREV_SPEARMAN,6,4,0
PERCENTILE_AVE_PHENO_SLOPE,5,3,0
PERCENTILE_AVE_PHENO_SPEARMAN,6,3,0
