PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
Alanine_aminotransferase,0.18494026628203797,0.18093097036941783,0.180166323124897,0.6362254976447348,0.6918429003021148,1.8584333658005736,2.262713178435431,0.9540890025912042,0.9637323732373236,0.9644004404756806,0.9804860486048604
Albumin,0.2040282434189504,0.1963051088618064,0.07575231384888031,0.6527454242928452,0.7541528239202658,2.011662837449057,3.099249614134184,0.9487439728504736,0.967980798079808,0.9496319218761604,0.976081608160816
Alkaline_phosphatase,0.3653414953035346,0.3593385067654402,0.14799843559957546,0.7602979176166591,0.8640483383685801,3.5619616284007196,6.450464555083944,0.9804633063389198,0.9933003099363938,0.970946346247332,0.9945874587458746
Ankle_spacing_width_left,0.1948717138421015,0.1842568687047004,0.10903222634619052,0.6138025594149908,0.6696428571428571,1.6723251751065744,2.041544846865282,0.9148519373165924,0.9224030075139252,0.9396177062740352,0.949018901890189
Ankle_spacing_width,0.23952931229024904,0.226836439984921,0.1499628634673207,0.6640446587160619,0.745,2.125906110712403,2.951162879796098,0.9538772312564028,0.9704650465046504,0.955236496331604,0.9747374737473748
Ankle_spacing_width_right,0.195109437674316,0.1870945928820092,0.09282720851969782,0.6256830601092896,0.7156398104265402,1.7683417997514066,2.5379626185605355,0.9211240017651232,0.9300565860148604,0.9348746642482176,0.9449144914491449
Apolipoprotein_A,0.3086419974607025,0.29759725443595236,0.18339047289486504,0.7187659792057269,0.8085867620751341,2.811383104659054,4.273946058512799,0.9705911764834936,0.981452033933265,0.9697412945720508,0.9888508850885088
Apolipoprotein_B,0.28787524168251377,0.2704246976999442,0.24960976458214823,0.6634527089072544,0.6897081413210445,2.1199022646061048,2.239867874211828,0.9540496956651714,0.981986198619862,0.9569341728810276,0.9886708670867088
Arm_fat_free_mass_left,0.14695953648631252,0.12363063629769444,0.1277726586967175,0.5612941525675275,0.6008836524300442,1.3145965582590284,1.5117054655753126,0.7873020121912659,0.7873589084787677,0.936983790174268,0.9601560156015604
Arm_fat_free_mass_right,0.15435900327482674,0.1304235368931506,0.0968848197619772,0.5623700623700624,0.591776798825257,1.32099712833464,1.4551031025879144,0.8187862673477865,0.8188178817881789,0.9531795396141548,0.9728772877287728
Arm_fat_mass_left,0.18220404326274892,0.1770403107487072,0.04251578075369216,0.6309311981020166,0.687964338781575,1.811584630250044,2.2214766585047063,0.9530995659554964,0.9736693669366936,0.9661642789371532,0.9813981398139816
Arm_fat_mass_right,0.17614849409885905,0.17053687695951994,0.06489442753372288,0.6162859685553248,0.6666666666666666,1.6909441286582167,2.013537798011261,0.951176731102545,0.965976597659766,0.9597735158928116,0.9733333333333332
Arm_fat_percentage_left,0.10573780246048504,0.0946113028045173,0.01255088570896457,0.5547488516817306,0.5879765395894428,1.276518843287151,1.4321677022183432,0.8717164564565231,0.884825064027875,0.9267577976144604,0.9377377737773778
Arm_fat_percentage_right,0.09751648974623583,0.08730327895611177,0.00381275999564922,0.5443900993033941,0.6093979441997063,1.2186234526632047,1.5671513798107015,0.8012201230925391,0.8037168387171861,0.8958737410043032,0.9126072607260726
Arm_predicted_mass_left,0.1475718336999649,0.1228982936703234,0.09765511363669284,0.5579150579150579,0.5952732644017725,1.2947369582554704,1.476478298148469,0.7589816004487502,0.757662223378572,0.9284264783727044,0.9524992499249926
Arm_predicted_mass_right,0.14818205555245256,0.1251969943679163,0.1078913525657572,0.5575523540769345,0.5973451327433629,1.2926583140316936,1.4894178920319976,0.7720379555059248,0.7759058847831667,0.9480872383050812,0.9641044104410442
Aspartate_aminotransferase,0.21983880845682585,0.2172781330639274,0.2003637046942765,0.6682994030307668,0.7638036809815951,2.1710777316744467,3.2683004317177917,0.96547753801322,0.9834112913674368,0.9646104981750336,0.9861026102610262
Basal_metabolic_rate,0.1803010840480923,0.15670839131887596,0.10757407836540184,0.5745438362260792,0.6312684365781711,1.3957386969547745,1.7211693246761022,0.8886567487581676,0.8978358641455583,0.9522425934702228,0.9712811281128114
Birth_weight,0.12975975719912228,0.13109157966971433,0.07740340508614088,0.5963663147557083,0.6460807600950119,1.5448164576197747,1.8370863793184036,0.8995146866360488,0.9107798103245625,0.9236432785746372,0.9353855385538554
Body_fat_percentage,0.1026164199703366,0.09347479740140718,0.02439593902710826,0.5543414057885411,0.5872781065088757,1.2743506377614089,1.4280038169743432,0.8678911584606999,0.8753139131765244,0.9272794978221734,0.9382418241824184
