Metric,Cutoff90,Cutoff95,Cutoff99
PEARSON_CORR,103,102,95
SPEARMAN_RHO,101,99,92
COSINE_SIM,16,15,9
TOP10PCT_PREV,45,35,18
TOP1PCT_PREV,15,10,3
TOP10PCT_OR,45,35,18
TOP1PCT_OR,15,10,3
PERCENTILE_AVE_PREV_SLOPE,24,17,5
PERCENTILE_AVE_PREV_SPEARMAN,20,9,4
PERCENTILE_AVE_PHENO_SLOPE,20,13,5
PERCENTILE_AVE_PHENO_SPEARMAN,14,8,4
