Metric,Cutoff90,Cutoff95,Cutoff99
PEARSON_CORR,103,103,103
SPEARMAN_RHO,103,103,102
COSINE_SIM,27,26,24
TOP10PCT_PREV,87,77,62
TOP1PCT_PREV,30,24,12
TOP10PCT_OR,87,78,62
TOP1PCT_OR,30,24,12
PERCENTILE_AVE_PREV_SLOPE,47,38,20
PERCENTILE_AVE_PREV_SPEARMAN,40,29,15
PERCENTILE_AVE_PHENO_SLOPE,37,29,15
PERCENTILE_AVE_PHENO_SPEARMAN,42,35,17
