Metric,Cutoff90,Cutoff95,Cutoff99
PEARSON_CORR,97,96,86
SPEARMAN_RHO,96,96,84
COSINE_SIM,10,8,7
TOP10PCT_PREV,24,16,10
TOP1PCT_PREV,6,3,1
TOP10PCT_OR,24,16,10
TOP1PCT_OR,6,3,1
PERCENTILE_AVE_PREV_SLOPE,14,5,0
PERCENTILE_AVE_PREV_SPEARMAN,13,7,0
PERCENTILE_AVE_PHENO_SLOPE,8,7,3
PERCENTILE_AVE_PHENO_SPEARMAN,9,4,1
