METRIC,BEAT_90,BEAT_95,BEAT_99
VAR_PP_CORS,25,11,0
MAX_ABS_PP_CORS,14,9,2
MEAN_ABS_PP_CORS,32,21,3
MEAN_DELTA_R2,135,135,130
