METRIC,MAX_SHUFFLE_GREATER_SIGNFLIP_PVAL,MAX_SIGNFLIP_GREATER_SHUFFLE_PVAL,USUAL_SHUFFLE_GREATER_SIGNFLIP_PVAL,USUAL_SIGNFLIP_GREATER_SHUFFLE_PVAL
PEARSON_CORR,0.01600742864156741,0.9908291673579637,0.0359303191129258,0.9860965524865014
SPEARMAN_RHO,0.015272424988237618,0.991325988404334,0.17288929307558012,0.9703267806040401
COSINE_SIM,0.754547696734598,0.2475617204952427,0.056322286080730866,0.9442297012001228
TOP10PCT_PREV,1.1798025291784127e-8,0.9999999887892538,6.182149408199675e-5,0.999940968120952
TOP1PCT_PREV,5.822697644782016e-10,0.9999999994324185,2.2607451430913354e-8,0.9999999779173957
TOP10PCT_OR,1.1264131564574428e-8,0.9999999892972338,8.262616074234078e-5,0.9999210375557958
TOP1PCT_OR,5.820383513409463e-10,0.9999999994326444,1.986073713993816e-8,0.9999999806021437
PERCENTILE_AVE_PREV_SLOPE,2.698911985191726e-12,0.9999999999973875,2.921106551887373e-10,0.9999999997169902
PERCENTILE_AVE_PREV_SPEARMAN,6.264914658878158e-14,0.9999999999999394,1.4390324155841804e-10,0.9999999998602577
PERCENTILE_AVE_PHENO_SLOPE,1.7948998684794046e-10,0.9999999998252469,5.670002149324627e-10,0.9999999994480572
PERCENTILE_AVE_PHENO_SPEARMAN,2.8364074284126986e-14,0.9999999999999725,2.301034072175144e-11,0.9999999999776706
