METRIC,MAX_SHUFFLE_GREATER_SIGNFLIP_PVAL,MAX_SIGNFLIP_GREATER_SHUFFLE_PVAL,USUAL_SHUFFLE_GREATER_SIGNFLIP_PVAL,USUAL_SIGNFLIP_GREATER_SHUFFLE_PVAL
PEARSON_CORR,0.005933108439692469,0.9960915180067358,0.2696272855434711,0.7850469124670479
SPEARMAN_RHO,0.0027392766212736845,0.998013699331044,0.04551392061683405,0.9649075040167537
COSINE_SIM,0.9804750558528389,0.019830046123130874,0.10003699512965382,0.9006449897643236
TOP10PCT_PREV,4.9001581746234123e-14,0.9999999999999526,3.2103619684678766e-9,0.999999996882113
TOP1PCT_PREV,5.338677087270108e-7,0.9999994756418292,3.2897649786167616e-7,0.9999996772692272
TOP10PCT_OR,3.643152561078419e-14,0.9999999999999648,3.2905477522909893e-9,0.9999999968059116
TOP1PCT_OR,5.290512559509162e-7,0.9999994803756982,3.229603652957412e-7,0.999999683271772
PERCENTILE_AVE_PREV_SLOPE,1.4022282020178069e-9,0.9999999986291963,4.4679674070171993e-7,0.9999995624424042
PERCENTILE_AVE_PREV_SPEARMAN,1.959891339304551e-9,0.9999999980843284,1.5743001325471487e-6,0.9999984552298746
PERCENTILE_AVE_PHENO_SLOPE,3.3489276358569165e-7,0.9999996717697726,4.31679582428292e-6,0.9999957595875106
PERCENTILE_AVE_PHENO_SPEARMAN,3.4641646089828246e-13,0.999999999999663,1.6136930513736455e-9,0.9999999984234991
