METRIC,MAX_SHUFFLE_GREATER_SIGNFLIP_PVAL,MAX_SIGNFLIP_GREATER_SHUFFLE_PVAL,USUAL_SHUFFLE_GREATER_SIGNFLIP_PVAL,USUAL_SIGNFLIP_GREATER_SHUFFLE_PVAL
PEARSON_CORR,5.12813365325419e-6,0.999995220407152,0.017302989006920066,0.9834682976475683
SPEARMAN_RHO,2.395315356622405e-6,0.9999977790132013,0.007737824838889302,0.9926290839543163
COSINE_SIM,0.9465678462065676,0.05445914526597574,0.8872575494339972,0.11419433970879472
TOP10PCT_PREV,0.02050136101798763,0.9798600230951338,0.1286564217032905,0.8729228772284336
TOP1PCT_PREV,0.012003863839294688,0.988229970869411,0.13468208641645604,0.86672952334558
TOP10PCT_OR,0.01620747538277373,0.9840882239539417,0.11640459399939489,0.8850310489958828
TOP1PCT_OR,0.012003863839294688,0.988229970869411,0.13468208641645604,0.86672952334558
PERCENTILE_AVE_PREV_SLOPE,1.1628363246994963e-4,0.9998868005424731,0.14952610945628933,0.8521809371654068
PERCENTILE_AVE_PREV_SPEARMAN,0.0017876081544778856,0.9982530979403961,0.4191494452766175,0.5834629954694108
PERCENTILE_AVE_PHENO_SLOPE,3.730569273441661e-4,0.999636793076668,8.056715525344193e-4,0.9992117940444187
PERCENTILE_AVE_PHENO_SPEARMAN,1.3205180689904037e-4,0.9998716811932101,0.006400353106937224,0.993721893270568
