METRIC,MAX_SHUFFLE_GREATER_SIGNFLIP_PVAL,MAX_SIGNFLIP_GREATER_SHUFFLE_PVAL,USUAL_SHUFFLE_GREATER_SIGNFLIP_PVAL,USUAL_SIGNFLIP_GREATER_SHUFFLE_PVAL
PEARSON_CORR,3.536106332609611e-5,0.9999665968938722,0.018087718599999494,0.9826139841490646
SPEARMAN_RHO,1.2561091157435328e-5,0.9999880760975548,0.012112017887318284,0.9882956449243663
COSINE_SIM,0.9910182113774366,0.00915332803976234,0.08327320491412513,0.9172854221675133
TOP10PCT_PREV,1.2391015560116657e-9,0.999999998787907,6.09576662250071e-7,0.9999994015632757
TOP1PCT_PREV,1.9442350313441742e-5,0.9999808633782298,9.376801099049923e-6,0.9999907648949452
TOP10PCT_OR,9.201384499043618e-10,0.9999999991000702,3.574417430546071e-7,0.9999996490203917
TOP1PCT_OR,2.038759408273181e-5,0.9999799322299419,9.378482559241322e-6,0.9999907632363852
PERCENTILE_AVE_PREV_SLOPE,9.383717770397177e-8,0.9999999081132032,1.28179667687794e-4,0.9998737853733123
PERCENTILE_AVE_PREV_SPEARMAN,1.0775210878542071e-6,0.9999989443876895,5.348645359504058e-4,0.9994718013068558
PERCENTILE_AVE_PHENO_SLOPE,3.473524756146356e-5,0.9999658202448236,3.763040026824508e-4,0.999628980557237
PERCENTILE_AVE_PHENO_SPEARMAN,3.1751256393116643e-6,0.9999968783474851,2.7257806553507833e-5,0.9999731634511604
