PHENO,PC1_COSSIM,PC1_ABS_COSSIM,PC1_PEARSON,PC1_ABS_PEARSON,PC1_SPEARMAN,PC1_ABS_SPEARMAN,PC1_COSSIM_ABS_RANK,PC1_PEARSON_ABS_RANK,PC1_SPEARMAN_ABS_RANK,EVENNESS_COSSIM,EVENNESS_PEARSON,EVENNESS_SPEARMAN,R2_PHENO_PCS,ADJ_R2_PHENO_PCS,LinearModel_NUM_SIG_VARS
Albumin,-0.7059426331210461,0.7059426331210461,-0.0015328239293354664,0.0015328239293354664,-4.4654404132252575e-4,4.4654404132252575e-4,40,8,5,2.022434354496536,3.2841553475914265,3.252545560078018,0.0015921931448274994,0.0014538553870684368,11
Ankle_spacing_width_left,0.36697328632667414,0.36697328632667414,0.01082622833205076,0.01082622833205076,0.010916458535770305,0.010916458535770305,40,32,32,2.3562659210592427,3.3068986864015826,3.30535016931819,0.003734318499884795,0.0035962775515220313,13
Ankle_spacing_width,0.003927103882773436,0.003927103882773436,0.009599633158732879,0.009599633158732879,0.007916284801285775,0.007916284801285775,17,28,28,3.346272644350708,3.346650890551853,3.323683138703999,0.0025255867796689325,0.0023873783514098967,12
Apolipoprotein_A,-0.8714580751119224,0.8714580751119224,0.01863088083511145,0.01863088083511145,0.01827651274177635,0.01827651274177635,40,38,38,1.9785495573024092,3.2720259833412744,3.273087542849863,0.001998436123804535,0.001860154654410251,6
Apolipoprotein_B,0.13415408876620555,0.13415408876620555,-0.0038453020327043437,0.0038453020327043437,-0.0033450589172112277,0.0033450589172112277,40,20,20,2.5802215683273277,3.4665766437647854,3.4380295078032006,8.609858579475046e-4,7.225467852989276e-4,10
Arm_fat_free_mass_left,-0.5612228359713861,0.5612228359713861,0.0037955193314057538,0.0037955193314057538,0.0037168687484574925,0.0037168687484574925,40,14,13,2.153628766761038,3.3775099778998823,3.4056676832316763,0.0026203689113412977,0.002482173615939942,17
Arm_fat_free_mass_right,-0.8415833649525224,0.8415833649525224,0.006476993558372997,0.006476993558372997,0.006432045853236303,0.006432045853236303,40,24,23,2.046313061884841,3.350166048545441,3.372890847811959,0.0033310923560015996,0.0031929955372818064,17
Arm_predicted_mass_left,-0.7937813600441512,0.7937813600441512,0.003997277743838062,0.003997277743838062,0.004196436094937576,0.004196436094937576,40,16,17,2.0547755776800467,3.401035736331551,3.406658217132004,0.0027258297070727106,0.0025876490241472094,18
Arm_predicted_mass_right,-0.9131025967352205,0.9131025967352205,0.0020308649359772305,0.0020308649359772305,0.002064956979055921,0.002064956979055921,40,8,9,1.992757803356002,3.3848828003977585,3.3939831124578586,0.002538240753766756,0.0024000340788217223,17
Aspartate_aminotransferase,-0.06777427621246178,0.06777427621246178,0.00649686018203717,0.00649686018203717,0.0070135097736136005,0.0070135097736136005,40,28,29,3.0181502599509322,3.3793611011686266,3.4045954979035935,0.0016068215264784438,0.001468485795603991,9
Basal_metabolic_rate,-0.797584430313856,0.797584430313856,0.003834107528946349,0.003834107528946349,0.004073795592897574,0.004073795592897574,40,18,21,2.02580973116364,3.3138524567595677,3.3237121139809296,0.0023395230934872583,0.002201288884547292,15
Creatinine,-0.9560758569758572,0.9560758569758572,-0.0013919235305480753,0.0013919235305480753,-0.0014631430104251116,0.0014631430104251116,40,9,12,1.958240153793084,3.340257346846404,3.3563533962944967,0.0011094000864756103,9.709954336976079e-4,7
Cystatin_C,-0.6603662626369288,0.6603662626369288,-0.0016252831402868517,0.0016252831402868517,-0.002609398099284324,0.002609398099284324,40,16,19,2.0167489128214395,3.2252235939420912,3.24261699748182,0.0011049526189129012,9.665473499009813e-4,8
Eosinophill_count,-0.16941676045312554,0.16941676045312554,0.0023930802520581436,0.0023930802520581436,0.002533324322625037,0.002533324322625037,40,21,19,2.3670067742823058,3.3282408937360146,3.3615586309826835,8.559950126960294e-4,7.175552485241266e-4,8
Forced_vital_capacity_FVC,-0.23068231439097106,0.23068231439097106,-0.00030223347906200567,0.00030223347906200567,-5.615577646447784e-4,5.615577646447784e-4,40,2,4,2.3846208013893304,3.2783475773778536,3.2861934844853002,0.0026956835439233898,0.0025574986839946856,14
Glycated_haemoglobin_HbA1c,-0.8959154629657061,0.8959154629657061,0.006649705115824178,0.006649705115824178,0.005774657375913762,0.005774657375913762,40,32,28,1.9600174323965451,3.37392306587227,3.422356066410038,0.001117908689406503,9.795052155666673e-4,10
Haematocrit_percentage,-0.030531082616192966,0.030531082616192966,-0.002805111482471249,0.002805111482471249,-0.0013355399706734552,0.0013355399706734552,40,17,12,3.069155681078483,3.2872387093430526,3.248971153868617,0.001098348100966232,9.599419168430101e-4,3
Heel_bone_mineral_density_BMD,0.7037005343717508,0.7037005343717508,0.002356539925900387,0.002356539925900387,0.0030389281612260254,0.0030389281612260254,40,16,19,2.04911685821262,3.373831032371474,3.3911741973375067,0.0012546988206704052,0.0011163143002480558,12
Heel_bone_mineral_density_BMD_T_score_automated,0.8061674076460041,0.8061674076460041,0.002554868683588476,0.002554868683588476,0.0032055180669946534,0.0032055180669946534,40,18,21,2.0155612912816343,3.3815398285041742,3.4028769172829594,0.001177798881440507,0.0010394037058879535,12
Heel_Broadband_ultrasound_attenuation_direct_entry,0.7089260664021396,0.7089260664021396,9.439941438017869e-4,9.439941438017869e-4,8.51104667016891e-4,8.51104667016891e-4,40,6,9,2.0586003923404252,3.255041533968283,3.1821850900366306,0.0016112893200202275,0.0014729542081959313,9
Heel_quantitative_ultrasound_index_QUI_direct_entry,0.8061736031985458,0.8061736031985458,0.0025549316569819687,0.0025549316569819687,0.0032054493831610484,0.0032054493831610484,40,18,21,2.015560848099388,3.381546955439513,3.40289441849195,0.0011778551937119222,0.0010394600259618914,12
High_light_scatter_reticulocyte_count,0.908991591637073,0.908991591637073,0.005371651099659764,0.005371651099659764,0.0062150279562782455,0.0062150279562782455,40,30,32,1.9358655536515499,3.3493291945617645,3.365563827587299,7.537589624966348e-4,6.153050326643816e-4,6
High_light_scatter_reticulocyte_percentage,0.9064549914203133,0.9064549914203133,0.0028381389122127893,0.0028381389122127893,0.0038913498431288377,0.0038913498431288377,40,22,28,1.9376711904028772,3.3272844010432596,3.310587675054914,6.014069692252307e-4,4.629319297492218e-4,5
Hip_circumference,-0.8279232332350549,0.8279232332350549,-0.006361057968477391,0.006361057968477391,-0.005874159757772579,0.005874159757772579,40,24,24,2.006965792345989,3.4185720931500505,3.4035554982437746,0.0019418462543497742,0.0018035569439553978,16
IGF_1,0.8006550110434959,0.8006550110434959,-2.456705312904462e-4,2.456705312904462e-4,3.832568940333312e-4,3.832568940333312e-4,40,2,2,1.9771113005521541,3.3960050821150856,3.4317928945331944,0.0016275134551505175,0.001489180591316086,15
Immature_reticulocyte_fraction,0.8413566220483759,0.8413566220483759,0.00187817014395976,0.00187817014395976,0.001832230797064911,0.001832230797064911,40,12,10,1.9490167509133158,3.3796683017513733,3.3783023663744807,7.541074229539414e-4,6.156535414036934e-4,4
Impedance_of_arm_left,0.6174265181360808,0.6174265181360808,0.006737222197840027,0.006737222197840027,0.006962719254046794,0.006962719254046794,40,30,30,2.0847101775314254,3.287498139023786,3.3506797229333523,0.002293260272729864,0.0021550196536889166,9
Impedance_of_arm_right,0.6251929448768778,0.6251929448768778,0.004385581099467266,0.004385581099467266,0.004554093517316089,0.004554093517316089,40,23,22,2.0790385291335713,3.2636747813416247,3.316754278364078,0.002237528812478129,0.002099280471376863,11
Impedance_of_leg_left,0.9318310085366759,0.9318310085366759,-0.002126244626324098,0.002126244626324098,-0.0031520777989581224,0.0031520777989581224,40,12,21,1.9761316952546553,3.2867316408808436,3.27459314757204,0.0019459130761857568,0.001807624329283608,13
Impedance_of_leg_right,0.6441154401535698,0.6441154401535698,0.0052005843953840435,0.0052005843953840435,0.004769995056615455,0.004769995056615455,40,24,23,2.104593509125694,3.1776512057210153,3.212714906589852,0.003317202375316505,0.003179103632023672,17
Impedance_of_whole_body,0.7604835173741872,0.7604835173741872,2.562773724804777e-4,2.562773724804777e-4,-8.55108865530036e-4,8.55108865530036e-4,40,2,4,2.0365965633645384,3.371308159005808,3.3850565569206377,0.0025167741255370103,0.002378564476210987,12
LDL_direct,-0.35200663590719367,0.35200663590719367,-0.0025998273489164195,0.0025998273489164195,-0.002609845716937563,0.002609845716937563,40,16,18,2.269488022905746,3.429843873774855,3.4026651476299175,9.716772302696883e-4,8.33253494837205e-4,8
Leg_fat_free_mass_left,-0.4157489408290062,0.4157489408290062,0.00562510663571992,0.00562510663571992,0.005155274007433955,0.005155274007433955,40,22,22,2.2351584229674297,3.2931183908418102,3.318944937124048,0.002818302102078569,0.002680134231977327,15
Leg_fat_free_mass_right,-0.644013077183323,0.644013077183323,0.005219326329918903,0.005219326329918903,0.004804134736744831,0.004804134736744831,40,21,21,2.130401252077589,3.3475628131269186,3.3659999284688698,0.0025978346284515966,0.0024596362107367487,14
Leg_fat_percentage_left,-0.9469479408461986,0.9469479408461986,-0.0166725557264586,0.0166725557264586,-0.014843384755708738,0.014843384755708738,40,38,37,1.9627253581224078,3.266211160602609,3.2769555345342978,0.0024499881497803255,0.002311769246698514,14
Leg_fat_percentage_right,-0.9053697088860402,0.9053697088860402,-0.01566463551883319,0.01566463551883319,-0.015040681133115673,0.015040681133115673,40,38,38,1.972225932859871,3.31182487710825,3.3505066070311407,0.0028057646884477915,0.002667595081182972,15
Leg_predicted_mass_left,-0.6091728866142034,0.6091728866142034,0.005165962448429334,0.005165962448429334,0.005041226219374362,0.005041226219374362,40,23,23,2.1258094159646554,3.3097320809903032,3.3397869126556756,0.0027813743547356485,0.0026432013679860145,14
Leg_predicted_mass_right,-0.6477336592029979,0.6477336592029979,0.0051355276229814095,0.0051355276229814095,0.0045517165360602395,0.0045517165360602395,40,19,19,2.1148244126099227,3.353187601274289,3.380503421248351,0.0026437226033079932,0.0025055305437561293,13
Mean_corpuscular_haemoglobin_concentration,-0.49261071796808054,0.49261071796808054,-0.012359464007409551,0.012359464007409551,-0.011175476541555224,0.011175476541555224,40,36,36,2.065445128043278,2.8670386284206195,2.9094542773480843,0.004208895985142723,0.004070920793462496,5
Mean_corpuscular_haemoglobin,-0.5928291733888628,0.5928291733888628,-0.014148631633319076,0.014148631633319076,-0.012076393973520288,0.012076393973520288,40,36,36,2.0702354976331185,2.9687803531927273,3.0375770288934896,0.004289856974189382,0.004151893000331808,9
Mean_corpuscular_volume,-0.2827933010704637,0.2827933010704637,-0.013847486881638435,0.013847486881638435,-0.012468206433622203,0.012468206433622203,40,36,36,2.266220500623854,2.9636742530177287,3.022014116645124,0.0036039775461193836,0.00346591853792666,8
Mean_reticulocyte_volume,-0.5103797738717024,0.5103797738717024,0.004990869763853098,0.004990869763853098,0.003799224803311255,0.003799224803311255,40,33,29,2.016005940378226,3.361640544922031,3.3531031388711074,6.188304557701568e-4,4.803578304639622e-4,7
Mean_time_to_correctly_identify_matches,-0.9524169671491198,0.9524169671491198,-0.005989044569974952,0.005989044569974952,-0.004789114290665905,0.004789114290665905,40,25,22,1.9520584427802603,3.3818117584081926,3.3523912062554238,0.001841018023603993,0.0017027147426144085,13
Monocyte_count,0.7443725846461258,0.7443725846461258,-0.008401565658455087,0.008401565658455087,-0.007879588322573324,0.007879588322573324,40,37,37,1.995596685189733,3.468092871588146,3.487682954776554,8.796881199469634e-4,7.412516386534618e-4,7
Neuroticism_score,0.7070621407008398,0.7070621407008398,-0.011174713006009624,0.011174713006009624,-0.011477614761731664,0.011477614761731664,40,36,36,2.136075227958554,3.2953243828543775,3.289686855619178,0.003801140180026332,0.003663108490366551,16
Neutrophill_count,-0.8341791166039934,0.8341791166039934,-0.001433695571441577,0.001433695571441577,-9.643635758420085e-4,9.643635758420085e-4,40,11,8,1.9673230775667898,3.3279504187833484,3.3315371822446975,0.0012894203291647394,0.0011510406196980627,9
Peak_expiratory_flow_PEF,0.12272956096644073,0.12272956096644073,0.01256216433541322,0.01256216433541322,0.011367662289915056,0.011367662289915056,40,37,37,2.4761114124520054,3.2363655678346817,3.2361669470218044,0.001317750451343816,0.0011793746672525973,7
Phosphate,-0.41933560748411824,0.41933560748411824,-0.007517217127943223,0.007517217127943223,-0.008148150481526189,0.008148150481526189,40,35,33,2.0748855267731527,3.400439419803886,3.391576391649459,8.480828308562251e-4,7.096419703853662e-4,8
Platelet_count,-0.7268419698933694,0.7268419698933694,-0.006564398780764314,0.006564398780764314,-0.005918264568702478,0.005918264568702478,40,30,29,1.9904608507558166,3.280967521015507,3.3038744623358465,0.0011036613842306563,9.652559363073632e-4,8
Platelet_crit,-0.5989522508027815,0.5989522508027815,-0.0034904562719467085,0.0034904562719467085,-0.003242390842384609,0.003242390842384609,40,20,21,2.084857429617029,3.387889159373561,3.3677915837159964,0.0013230341203717285,0.0011846590683770586,13
Red_blood_cell_erythrocyte_count,0.8473352568645343,0.8473352568645343,0.010541979604760774,0.010541979604760774,0.011134248091035158,0.011134248091035158,40,36,37,1.9745581683946645,3.3402558963953064,3.3880289692382033,0.0017626463842429646,0.001624332244206772,13
Red_blood_cell_erythrocyte_distribution_width,-0.7371222421759651,0.7371222421759651,0.004390308817317751,0.004390308817317751,0.003912711110253998,0.003912711110253998,40,26,24,1.9628223470882744,3.107926637591427,3.147781763204795,0.0012146148242310334,0.001076224749835486,9
Reticulocyte_count,0.9003048453899009,0.9003048453899009,0.004147717057536732,0.004147717057536732,0.00470601054975568,0.00470601054975568,40,29,32,1.9460536684230116,3.4307977020643037,3.4498032978320765,5.957810826774227e-4,4.5730526368770175e-4,4
Reticulocyte_percentage,0.8953465430642644,0.8953465430642644,0.0056981375390419125,0.0056981375390419125,0.006200636006641586,0.006200636006641586,40,32,34,1.9441111944640097,3.3775505594586464,3.3605688276825223,7.107426050002963e-4,5.722827148916254e-4,6
SHBG,-0.41951103129275846,0.41951103129275846,-1.7920187277590478e-4,1.7920187277590478e-4,-6.261093373635801e-4,6.261093373635801e-4,40,2,2,2.0798737066258353,3.438084019029527,3.512704211409963,7.214131939238558e-4,5.829547823146264e-4,5
Sitting_height,0.46868040591147964,0.46868040591147964,0.0061885932290989265,0.0061885932290989265,0.006725471044415064,0.006725471044415064,40,27,29,2.158484294072923,3.3710458004030843,3.3719705290001722,0.0023623621592413803,0.002224131114845096,13
Speed_of_sound_through_heel,0.8413795601850402,0.8413795601850402,0.00354566927060524,0.00354566927060524,0.00378085458794581,0.00378085458794581,40,21,20,1.9909569750633127,3.4116678749226117,3.4393721268453876,0.0010495648370237641,9.111518935711604e-4,11
Standing_height,-0.29017355839594866,0.29017355839594866,0.00708642936787856,0.00708642936787856,0.008058941712786337,0.008058941712786337,40,28,31,2.4201063677684886,3.15626465422468,3.178542798353999,0.004659721424947368,0.004521808698905061,11
