PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN,N_SNPS,N_TARGET_SNPS,MAX_MAG_BKGRD,MEDIAN_MAG_BKGRD,AVE_MAG_BKGRD,BETA_WILCOX_PVAL,VAR_BKGRD,SUM_BKGRD,MAX_MAG_TARGET,MEDIAN_MAG_TARGET,AVE_MAG_TARGET,VAR_TARGET,SUM_TARGET,SUM_RATIO_TARGET_BKGRD
Alanine_aminotransferase,1,1,1,1,0.94,1,0.94,0.79,0.59,0.85,0.94,280,87,0.226757523748603,0.0217636679346357,0.03192919807687222,0.9999999996151268,0.00184993830427955,6.162335228836339,0.0612376115485755,0.0156909996039594,0.01963722453254108,4.6741984977755107e-4,1.7084385343310742,0.2772388178975596
Albumin,1,1,0.03,0.86,0.99,0.86,0.99,0.76,0.52,0.54,0.28,199,28,0.272145737287138,0.0242157220650798,0.03610582054484713,0.9987708890664636,0.0026488335159066,6.174095313168858,0.0842542206251517,0.0196255981898242,0.02681307516078913,0.00106963839939838,0.7507661045020958,0.12159937066419609
Alkaline_phosphatase,1,1,0,1,0.87,1,0.87,0.84,0.69,0.97,0.41,466,111,1.47684668633624,0.0241151172735287,0.04147077651126506,0.999999999995224,0.00970400038660573,14.7221256614991,0.0661162684058737,0.0166663668835229,0.02287956351340584,7.344639708960479e-4,2.5396315499880484,0.17250440652260043
Ankle_spacing_width,1,1,0.59,1,0.97,1,0.97,0.92,0.98,0.56,0.66,449,151,0.31558785674082,0.0246469459269131,0.032279696647515,0.999999999999878,0.00177131942928824,9.61934960095947,0.0845671866597925,0.0181239021676433,0.02346257631301294,7.109766841263377e-4,3.542849023264955,0.36830442495941496
Ankle_spacing_width_left,1,1,1,0.98,0.99,0.98,0.99,1,1,1,1,204,77,0.28465112978022,0.0306039006929154,0.04069616154715351,0.999999995653772,0.00256591668655045,5.1684125164884955,0.0838033676048837,0.0233676116884847,0.03024483414479843,0.00113098023897224,2.3288522291494793,0.4505933343594137
Ankle_spacing_width_right,1,1,1,1,1,1,1,1,1,1,1,256,119,0.277645959359789,0.0308530479576982,0.04064190322414091,0.999999904228052,0.00256240533998344,5.567940741707304,0.0924693934066237,0.0241946654630451,0.03220972245832377,0.00128232336807332,3.832956972540529,0.6883975872496849
Apolipoprotein_A,1,1,0.5,0.98,0.85,0.98,0.85,0.01,0,0,0.01,311,47,0.330372779543103,0.02561442660356215,0.04010814421829979,0.9999999999541126,0.00308049880259681,10.588550073631144,0.0563597194226088,0.0143054186875929,0.01907606453329995,4.760080589048749e-4,0.896575033065098,0.08467401361191602
Apolipoprotein_B,1,1,0,0.99,0.11,0.99,0.11,0.32,0.11,0.58,0.06,418,107,1.00244234061176,0.0298003391726723,0.05580494310836832,1,0.01120979327073423,17.355337306702545,0.0762245897709843,0.0166268166652888,0.02314440685772381,7.490028469739768e-4,2.476451533776448,0.14269106327423867
Arm_fat_free_mass_left,1,1,0.85,0.99,0.12,0.99,0.13,0.53,0.45,0.27,0.37,529,108,0.111625857898841,0.0138473096681552,0.01662373200961883,0.9999999999571876,3.835703677550968e-4,6.998591176049529,0.0350886433076227,0.01002960870261514,0.01310948520604878,2.209316521620011e-4,1.415824402253269,0.2023013441760224
Arm_fat_free_mass_right,1,1,0.61,1,0.76,1,0.76,1,0.96,0.96,0.91,637,123,0.110966447491288,0.01293686063876865,0.01615607033481532,0.9999999999998704,3.643665961851547e-4,8.304220152095077,0.0374295497511285,0.00994448355516922,0.01231261645838604,1.924731725855894e-4,1.514451824381484,0.18237134813910277
Arm_fat_mass_left,1,1,0.7,1,1,1,1,1,1,1,1,502,254,0.10310926528788,0.01818561481490185,0.02266835297627328,0.9999999999999984,6.96328451873378e-4,5.621751538115775,0.0906676420237141,0.0149488860848404,0.01867228039612444,4.521476314524624e-4,4.742759220615608,0.8436444030760605
Arm_fat_mass_right,1,1,0.87,1,0.87,1,0.88,1,1,0.97,0.96,435,188,0.213328163625254,0.0176774311707862,0.02238789132145125,0.99999999997619,7.953848326152836e-4,5.52980915639846,0.0701488520598245,0.01502649932170535,0.0179968691288865,3.87736005879711e-4,3.3834113962306622,0.6118495775420689
Arm_fat_percentage_left,0.98,0.98,0.54,0.35,0.55,0.35,0.55,0.98,0.97,0.92,0.72,169,30,0.0768583052985356,0.0146889577779183,0.01799007583942802,0.9999650301633868,4.2174361806865407e-4,2.5006205416804947,0.0303620595989139,0.0115908653473156,0.01363682332833193,1.9482141581884344e-4,0.409104699849958,0.1636012713768347
Arm_fat_percentage_right,1,1,0.42,0.16,0.67,0.16,0.67,0.14,0.08,0.52,0.36,108,22,0.0770127781830309,0.0158252396671164,0.0197740521709262,0.999989438160937,5.23602527250354e-4,1.700568486699654,0.0295963168239168,0.0108013229342635,0.01341836385129923,2.150341997806576e-4,0.29520400472858316,0.17359136490968072
Arm_predicted_mass_left,1,1,0.72,0.99,0.4,0.99,0.4,0.38,0.34,0.01,0.04,503,100,0.109925994446511,0.0137458668135358,0.01666199625667282,0.9999999815815792,3.85944515811734e-4,6.714784491439147,0.0362420706870662,0.01056530683470234,0.01360828196750865,2.3844396845248828e-4,1.360828196750865,0.2026614850388453
Arm_predicted_mass_right,1,1,0.72,0.9,0.48,0.9,0.48,0.73,0.77,0.97,0.71,555,106,0.110872687493087,0.0134806782488826,0.01651399444792382,0.9999999999995866,3.7571913612611456e-4,7.414783507117798,0.0379354873532051,0.01013338929496115,0.01249593475699534,2.0059053730610873e-4,1.324569084241506,0.17863894245462328
Aspartate_aminotransferase,1,1,0.08,0.88,0.48,0.88,0.48,0.96,0.95,0.62,0.82,189,31,0.15954759186967,0.02618939079757715,0.03697284128921444,0.999999991822386,0.00205217192367101,5.841708923695882,0.0637174931452605,0.0156943013288288,0.01992468622604518,5.267524803332079e-4,0.6176652730074008,0.10573366134384896
Basal_metabolic_rate,1,1,0.29,0.92,0.58,0.92,0.58,0.84,0.68,0.46,0.28,774,216,0.118727909277205,0.01403854705455795,0.01706333634213426,0.9999999999999996,4.111654316946784e-4,9.521341678910918,0.0459175710443825,0.0102686649077162,0.01389976501185554,2.5305375450836024e-4,3.002349242560798,0.3153283795298286
Birth_weight,1,1,0.98,1,0.96,1,0.96,1,1,1,1,131,68,0.0975102667765155,0.0271198191629053,0.0336140786367252,0.9999921514503528,0.00148553046075483,2.1176869541136876,0.0852381948400845,0.02124655174729015,0.02647139760724682,8.920229412546706e-4,1.8000550372927842,0.8500099761185707
Body_fat_percentage,0.98,0.98,0.22,0.18,0.17,0.18,0.17,0.99,0.97,0.97,0.88,139,22,0.0733161631369372,0.0156256542495785,0.01853364095429403,0.999995746923086,4.353042941903452e-4,2.168435991652402,0.0238418993083702,0.0112906588879934,0.01259211146648227,1.790786592183818e-4,0.27702645226260997,0.127754037162752
