PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN,N_SNPS,N_TARGET_SNPS,MAX_MAG_BKGRD,MEDIAN_MAG_BKGRD,AVE_MAG_BKGRD,BETA_WILCOX_PVAL,VAR_BKGRD,SUM_BKGRD,MAX_MAG_TARGET,MEDIAN_MAG_TARGET,AVE_MAG_TARGET,VAR_TARGET,SUM_TARGET,SUM_RATIO_TARGET_BKGRD
Albumin,0.98,0.98,0.3,0.56,0.88,0.56,0.88,0.26,0.46,0.22,0.69,76,5,0.272145737287,0.0312199317868178,0.05161182782074653,0.9166445412836216,0.00530028279211514,3.664439775273004,0.0637676975715879,0.0218047314581768,0.03207315629735128,8.873644631973488e-4,0.1603657814867564,0.04376270080050886
Ankle_spacing_width,0.97,0.97,0.99,0.24,0.38,0.23,0.38,0.53,0.56,0.43,0.8,128,7,0.176636363709237,0.0298742605073737,0.04035271811827279,0.9958658903466544,0.0023516852519016,4.882678892311008,0.0356223268807554,0.0209244969225598,0.02422621562878128,6.883785634676614e-4,0.169583509401469,0.03473165308259783
Ankle_spacing_width_left,0.99,0.99,0.65,0.37,0.83,0.37,0.83,0.8,0.71,0.87,0.93,64,6,0.147072471311122,0.03719020977181,0.04686886678432015,0.5955491123836361,0.00296314940226696,2.718394273490569,0.0989881446995021,0.03288087719343095,0.04898140472721941,0.00204527646937894,0.29388842836331647,0.10811103864854284
Apolipoprotein_A,1,1,0.74,0.81,0.92,0.8,0.92,0.91,0.88,0.45,0.18,212,33,0.330372779543259,0.0295705986945039,0.04443573637339135,0.9999996942982524,0.00359142616671173,7.953996810837054,0.0715841259423997,0.0178539851814169,0.02404471046866228,7.889762107310455e-4,0.7934754454658552,0.09975807940792378
Apolipoprotein_B,0.97,0.94,0.79,0.78,0.78,0.78,0.78,0.89,0.7,0.91,0.93,161,7,1.00244234061176,0.0422136255367635,0.0788878378944545,0.9872583511116608,0.02059354158835607,12.148727035745992,0.0459776932104127,0.0288586721140191,0.02858258126285363,0.00101441161787431,0.2000780688399754,0.01646905624361076
Arm_fat_free_mass_left,1,1,0.98,1,0.85,1,0.85,0.76,0.86,0.81,0.98,338,37,0.111625857898841,0.0150737551467861,0.01819175734175923,0.9999986614519064,4.631903563918353e-4,5.475718959869529,0.0392985252841343,0.0113996157884375,0.01394136706883136,2.3226697342943053e-4,0.5158305815467606,0.09420326085527432
Arm_fat_free_mass_right,1,1,0.88,0.82,0.95,0.82,0.95,0.91,0.9,0.85,0.83,255,16,0.110966447491276,0.0150416610432264,0.01868570483252588,0.8683488459319303,4.95087582537086e-4,4.465883454973686,0.046417136415973,0.01309567403930509,0.0169987839262629,3.921526987886092e-4,0.2719805428202065,0.06090184519197424
Arm_predicted_mass_left,1,1,0.93,0.5,0.72,0.5,0.72,0.67,0.45,0.68,0.36,281,25,0.10992599444653,0.01537777682022275,0.01897844725096942,0.9984945620477303,5.047038041830288e-4,4.858482496248172,0.0310016197393821,0.0118635491361238,0.01448582817965477,2.345840615594567e-4,0.3621457044913693,0.07453885133290616
Arm_predicted_mass_right,1,1,0.75,0.95,0.74,0.95,0.74,0.28,0.4,0.6,0.74,245,22,0.11087268749309,0.015142273879256,0.01896783557217211,0.9734755625017504,5.078655810675971e-4,4.229827332594381,0.0432503146903339,0.0123056453710966,0.0167759636003364,3.805527763147445e-4,0.36907119920740095,0.08725443621856538
Aspartate_aminotransferase,0.99,0.99,0.99,0.96,0.71,0.96,0.71,0.48,0.35,0.57,0.49,142,6,0.159547591869654,0.0274906003915921,0.03924985205467268,0.9900264660763152,0.00227195182511912,5.337979879435485,0.0311994705967899,0.0206668280794607,0.02210886576481525,5.784658195223193e-4,0.1326531945888915,0.02485082326741931
