PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN,N_SNPS,N_TARGET_SNPS,MAX_MAG_BKGRD,MEDIAN_MAG_BKGRD,AVE_MAG_BKGRD,BETA_WILCOX_PVAL,VAR_BKGRD,SUM_BKGRD,MAX_MAG_TARGET,MEDIAN_MAG_TARGET,AVE_MAG_TARGET,VAR_TARGET,SUM_TARGET,SUM_RATIO_TARGET_BKGRD
Alanine_aminotransferase,1,1,1,0.96,0.79,0.96,0.79,0.76,0.4,0.92,0.84,280,17,0.226757523748603,0.0208060725790751,0.02858101747878915,0.9756819496503524,0.00147496325347296,7.516807596921546,0.0426915613093054,0.0181055442164219,0.02082153919093334,5.356793380370078e-4,0.3539661662458668,0.04708995962472567
Albumin,1,1,0.66,0.94,1,0.94,1,0.57,0.51,0.16,0.12,199,10,0.272145737287138,0.0236894606009564,0.03533210698009731,0.9613333031790036,0.00251257276566568,6.677768219238391,0.0636179032032618,0.01858571017071815,0.02470931984325627,7.022819660592526e-4,0.2470931984325627,0.03700236221447411
Alkaline_phosphatase,1,1,0.24,0.89,1,0.89,1,0.96,0.87,0.9,0.56,466,35,1.47684668633624,0.0228048637435915,0.03835480864984827,0.999998612341391,0.00813279705451864,16.53092252808461,0.0550145516253126,0.015389435183873,0.02088099095435825,5.830281222431108e-4,0.7308346834025389,0.04421015718638291
Ankle_spacing_width,1,1,0.45,0.91,0.8,0.91,0.8,0.74,0.91,0.26,0.32,449,31,0.31558785674082,0.02232630512803105,0.02976099204896029,0.9998965588810476,0.00146647957026211,12.440094676465405,0.0645707883897351,0.0164615282345305,0.023293675734162,7.608530360463696e-4,0.722103947759022,0.05804649936669075
Ankle_spacing_width_left,1,1,1,0.44,0.81,0.44,0.81,0.95,0.94,0.77,0.77,204,11,0.28465112978022,0.0286839463703232,0.0369712498480096,0.9373965929390298,0.00204746025459662,7.135451220665854,0.0838033676048837,0.0242199487833184,0.0328921386338292,0.00163757330986512,0.3618135249721212,0.05070646743743812
Ankle_spacing_width_right,1,1,0.83,0.73,0.99,0.74,0.99,0.96,0.96,0.67,0.56,256,13,0.277645959359789,0.0289181048591158,0.03694844632195464,0.90700523056034,0.00199835719520501,8.97847245623498,0.0662461070194071,0.0252830848099165,0.03249425061637331,0.00117719968428501,0.422425258012853,0.04704867783155089
Apolipoprotein_A,1,1,0.55,0.88,0.82,0.88,0.82,0.03,0.03,0.03,0.05,311,15,0.330372779543103,0.02356565766240199,0.03767545321292189,0.9878713813091068,0.00278892196100366,11.15193415102488,0.0534565787767845,0.0188822162613883,0.02221273037809087,6.566632007750914e-4,0.3331909556713631,0.02987741419193569
Apolipoprotein_B,1,1,0.57,0.86,0.24,0.86,0.24,0.42,0.46,0.55,0.22,418,20,1.00244234061176,0.0254096496552305,0.04878638994779687,0.9999516890757696,0.00896745232081936,19.416983199223154,0.0547121932335629,0.0153654886423024,0.02074028206279197,5.450551544326533e-4,0.4148056412558395,0.02136303240311993
Arm_fat_free_mass_left,1,1,0.57,0.8,0.22,0.8,0.23,0.69,0.6,0.62,0.56,529,29,0.111625857898841,0.01343314052967855,0.01610279832003906,0.9999733381316948,3.588035752242726e-4,8.051399160019532,0.0314398458615065,0.00938451734397213,0.01251780752700919,2.0481234295949548e-4,0.36301641828326664,0.04508737066296264
Arm_fat_free_mass_right,1,1,0.4,0.87,0.31,0.87,0.31,0.96,0.89,0.9,0.88,637,34,0.110966447491288,0.012630690309017,0.01567846616955826,0.9999999711117832,3.4232025573111235e-4,9.45411510024363,0.0279191110350526,0.00920223703425198,0.01072226106567444,1.3893188537482e-4,0.3645568762329311,0.03856065558409972
