PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN,N_SNPS,N_TARGET_SNPS,MAX_MAG_BKGRD,MEDIAN_MAG_BKGRD,AVE_MAG_BKGRD,BETA_WILCOX_PVAL,VAR_BKGRD,SUM_BKGRD,MAX_MAG_TARGET,MEDIAN_MAG_TARGET,AVE_MAG_TARGET,VAR_TARGET,SUM_TARGET,SUM_RATIO_TARGET_BKGRD
Alanine_aminotransferase,1,1,1,1,0.82,1,0.82,0.79,0.49,0.9,0.92,280,39,0.226757523748603,0.0209510273753738,0.02930846402573878,0.9995048237707042,0.00155978542436863,7.063339830203045,0.0612376115485755,0.016547842318404,0.02070343417857353,5.497319069516896e-4,0.8074339329643678,0.1143133351041326
Albumin,1,1,0.37,0.99,1,0.99,1,0.7,0.52,0.24,0.33,199,20,0.272145737287138,0.0242157220650798,0.03630663527731179,0.9998728416920872,0.00263534911727386,6.49888771463881,0.0636179032032618,0.01789276015261325,0.02129868515160722,5.129053557216283e-4,0.4259737030321444,0.06554563207372152
Alkaline_phosphatase,1,1,0.24,1,0.92,1,0.92,0.98,0.88,1,0.71,466,62,1.47684668633624,0.02299468482228345,0.03900783529382145,0.9999958058503352,0.00859736500105112,15.759165458703864,0.0657960014961811,0.01708603266191705,0.02423535085134324,8.536334068688612e-4,1.502591752783281,0.09534716522399302
Ankle_spacing_width,1,1,0.65,1,0.98,1,0.98,0.74,0.92,0.38,0.58,449,61,0.31558785674082,0.02232058570699615,0.02981323080522013,0.9995442882929988,0.00148834217463163,11.567533552425411,0.0845671866597925,0.0183209687127923,0.02614205035736088,9.633156816108762e-4,1.5946650717990145,0.1378569653221066
Ankle_spacing_width_left,1,1,1,0.83,0.93,0.83,0.93,0.99,0.99,0.98,0.96,204,33,0.28465112978022,0.0287480056328763,0.03767513141813779,0.9849044048456768,0.00216839651302893,6.442447472501564,0.0838033676048837,0.0253407249672921,0.03196415979201247,0.00125286471584745,1.0548172731364116,0.16372927798615522
Ankle_spacing_width_right,1,1,0.99,0.98,1,0.98,1,1,1,1,1,256,71,0.277645959359789,0.0294035338877113,0.03838787270488737,0.999890242941456,0.00222030623694907,7.101756450404164,0.090635589184351,0.0241640444537725,0.03238227132174182,0.00134124690149621,2.2991412638436692,0.3237426233777454
Apolipoprotein_A,1,1,0.46,0.96,0.82,0.96,0.82,0.04,0.03,0.03,0.07,311,26,0.330372779543103,0.0242259118845964,0.03841366341782885,0.9999831996898396,0.00287753625926244,10.947894074081225,0.0563597194226088,0.01420364879677769,0.02066273202365456,5.847023407566597e-4,0.5372310326150186,0.04907163231391644
Apolipoprotein_B,1,1,0.81,0.95,0.51,0.95,0.51,0.57,0.44,0.66,0.28,418,50,1.00244234061176,0.02596012570413885,0.05080016328571588,0.9999999861138864,0.00962150340989001,18.694460089143444,0.0635016401385081,0.01682879286474799,0.022746575026711,7.107590047135638e-4,1.13732875133555,0.06083774262066216
Arm_fat_free_mass_left,1,1,0.71,0.94,0.41,0.94,0.41,0.8,0.73,0.8,0.65,529,66,0.111625857898841,0.0137309497253605,0.0163843370931997,0.9999999996463536,3.707879589266828e-4,7.585948074151465,0.0348352815741144,0.00940356917612564,0.01255253794168687,2.06242922460779e-4,0.8284675041513334,0.1092108060921578
Arm_fat_free_mass_right,1,1,0.87,0.97,0.72,0.97,0.72,0.96,0.93,0.93,0.92,637,84,0.110966447491288,0.0128226360535749,0.01593228152946162,0.9999999999933672,3.53413345134836e-4,8.810551685792277,0.0374295497511285,0.00933124862999603,0.01200143203195575,1.87544432172107e-4,1.0081202906842832,0.11442192573592846
Arm_fat_mass_left,1,1,0.56,1,1,1,1,1,1,1,1,502,151,0.10310926528788,0.0172334068365209,0.02116338248918593,0.9999999914481162,5.939180316465186e-4,7.428347253704263,0.0906676420237141,0.0146085090600763,0.01944479142402066,5.250005141283664e-4,2.93616350502712,0.3952647075785203
Arm_fat_mass_right,1,1,0.63,1,0.72,1,0.73,1,1,0.96,0.86,435,94,0.213328163625254,0.0168194772621008,0.02104500978411186,0.9999976004227502,6.717330796665659e-4,7.176348336382146,0.0701488520598245,0.0144731700280913,0.0184773640026274,4.2522265868803007e-4,1.7368722162469756,0.24202730063164615
