PC1_ABS_COSSIM,PC1_ABS_PEARSON,PC1_ABS_SPEARMAN,PC1_COSSIM_ABS_RANK,PC1_PEARSON_ABS_RANK,PC1_SPEARMAN_ABS_RANK,EVENNESS_COSSIM,EVENNESS_PEARSON,EVENNESS_SPEARMAN,R2_PHENO_PCS,ADJ_R2_PHENO_PCS,LinearModel_NUM_SIG_VARS,SENSITIVITY_METRIC
0.6386029749389501,0.3553565854214372,0.5957005846742693,0.640276031753574,0.43584201960317215,0.40704757535290226,0.9732495157749659,0.3607227381903584,0.7914158459314222,0.6396224311270515,0.6396224311270515,0.4377781923025794,PEARSON_CORR
0.6371307858484663,0.237138558370396,0.5067960361387167,0.6739717204951243,0.20162101079024722,0.24822342162678745,0.599284340377258,0.2392344829714908,0.9721270207969559,0.34759875597165457,0.34759875597165457,0.34193100660799014,SPEARMAN_RHO
5.420206882716238e-4,0.5962010227652113,0.6094342298137707,0.02511194470975671,0.31824452843629425,0.3967753088875692,8.198311055752529e-7,0.7531380322909182,0.8709238625111286,9.132274772739819e-4,9.132274772739819e-4,0.03849672791286998,COSINE_SIM
0.4566322356518141,0.3970047414022291,0.4557861639310211,0.31228457842011065,0.46797198531575657,0.4408972652939144,0.7692193369815282,0.924651486194689,0.7594253565470745,0.8285694806551914,0.8285694806551914,0.8286160533022654,TOP10PCT_PREV
0.456898062503858,0.06706646446818684,0.05398427484393963,0.9861024167891851,0.13225642604132426,0.10098791627400772,0.4528629066326838,0.8213765334653581,0.8255875882776585,0.468930298646523,0.468930298646523,0.47641697134909555,TOP1PCT_PREV
0.4579543720188993,0.39640162697687853,0.45908558803201915,0.31228923603226505,0.46859669418124317,0.44678731859657916,0.7679213865760138,0.9441911504139187,0.7350519608310748,0.8367743731335379,0.8367743731335379,0.8330301299182358,TOP10PCT_OR
0.456898062503858,0.06706646446818684,0.05398427484393963,0.9861024167891851,0.13225642604132426,0.10098791627400772,0.4528629066326838,0.8213765334653581,0.8255875882776585,0.468930298646523,0.468930298646523,0.47641697134909555,TOP1PCT_OR
0.7180102456203064,0.3241144529107868,0.34651304344095046,0.7045249470320194,0.5584795324661052,0.6183745716363643,0.21146815096544214,0.5064098042690564,0.21389273467997857,0.03379155286144921,0.03379155286144921,0.264487047655271,PERCENTILE_AVE_PREV_SLOPE
0.7744428418979862,0.5896057776615783,0.6782535505424316,0.47980579970906645,0.8448501869928563,0.7232679900698302,0.19851297391263734,0.5953938928604713,0.3838001204601068,0.01550953228980246,0.01550953228980246,0.07416450311360591,PERCENTILE_AVE_PREV_SPEARMAN
0.773838092143811,0.18206769083742538,0.369134243436419,0.7773372064652628,0.22820460807827841,0.6292569664972101,0.3769997620298232,0.2825191481521627,0.14418930528385213,0.08041030296269536,0.08041030296269536,0.8644208730601811,PERCENTILE_AVE_PHENO_SLOPE
0.5977522430628617,0.60606376828016,0.9849593957203248,0.48194514213307216,0.7104368161881707,0.7424423601821732,0.39599060990180257,0.3976401297228369,0.16866680296066833,0.25475037403244183,0.25475037403244183,0.9034450529589746,PERCENTILE_AVE_PHENO_SPEARMAN
