PC1_ABS_COSSIM,PC1_ABS_PEARSON,PC1_ABS_SPEARMAN,PC1_COSSIM_ABS_RANK,PC1_PEARSON_ABS_RANK,PC1_SPEARMAN_ABS_RANK,EVENNESS_COSSIM,EVENNESS_PEARSON,EVENNESS_SPEARMAN,R2_PHENO_PCS,ADJ_R2_PHENO_PCS,LinearModel_NUM_SIG_VARS,SENSITIVITY_METRIC
0.11551419463627845,-0.013692613365795931,-0.025409446950621313,NA,-0.03136651265070274,-0.040722626739120145,-0.0939644105135996,0.09139130196163796,0.05155406777323167,-0.04907285595526865,-0.04907285595526865,0.13496439197316998,PEARSON_CORR
-0.04590186274728405,-0.1342276772688628,-0.12947015754166039,NA,-0.11217050254132724,-0.11551113162645692,0.052956116135894536,0.061158736355209055,0.06735991724101084,-0.14443173682169005,-0.14443173682169005,-0.025229160733610846,SPEARMAN_RHO
-0.5693863357380086,-0.008586833546466126,-0.04264590734213293,NA,-0.008506199451927566,-0.050148174195556595,0.6052913847247491,-0.1429161753785947,-0.19972564612371083,0.11360231108310544,0.11360231108310544,0.12785494710162293,COSINE_SIM
0.048041512042283095,-0.12438789721247615,-0.07705246594907181,NA,-0.024194988877684034,0.03436160323045871,-0.12009537438214966,-0.013409930982991187,0.005116283739018368,-0.21942861157584034,-0.21942861157584034,-0.20774716195346296,TOP10PCT_PREV
0.0775623443501782,0.015978249395557566,0.04815994867660665,NA,0.0073726910021671395,0.06187673698141817,-0.018911348459575355,-0.1721795062916958,-0.13572449039677809,0.07640887842612626,0.07640887842612626,-0.06374418518758042,TOP1PCT_PREV
0.04867641340147879,-0.12373089241207118,-0.07597353632095878,NA,-0.022109150555434925,0.03662035510390604,-0.12164059743178664,-0.015315753836776599,0.003984449680917732,-0.2233197184030543,-0.2233197184030543,-0.2124934831320998,TOP10PCT_OR
0.07902694011529521,0.016378811191535326,0.04902658239290555,NA,0.00803498994294144,0.06319456665456527,-0.021492383699690722,-0.17012103254038355,-0.1344139059286561,0.07485259521067854,0.07485259521067854,-0.06456360153692381,TOP1PCT_OR
0.12949459331928395,-0.05766362983381511,-0.015441789412484927,NA,-0.07938538538688952,-0.05809309610675218,-0.08556981632098104,-0.0535271419549104,0.03111979260822736,0.05968518035099563,0.05968518035099563,0.1308347121325909,PERCENTILE_AVE_PREV_SLOPE
0.10642401146843745,-0.009811246811677556,0.022594433447049152,NA,-0.03059712871809857,-0.019485591626798332,-0.08166517083001039,-0.11452131146866852,-0.05278077232172338,0.0906963521057091,0.0906963521057091,0.11149608333757231,PERCENTILE_AVE_PREV_SPEARMAN
0.2979359385586833,-0.017007018562562152,0.010629386601601344,NA,-0.088585269701752,-0.044891132280012284,-0.22736999525937018,0.06597910205262726,0.11721439343926073,0.09863631308442054,0.09863631308442054,0.1786617932771882,PERCENTILE_AVE_PHENO_SLOPE
0.21126177136011368,0.05204920559015229,0.0689448742684246,NA,0.0058388235426752285,0.04516755902997247,-0.17307624188958406,-0.0838521710151187,-0.08082567119661153,0.08985024325070823,0.08985024325070823,0.08169693135730643,PERCENTILE_AVE_PHENO_SPEARMAN
