TYPE,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
original,0.4825830793169839,0.49065057221710745,0.3743852709907744,0.8648123224166293,0.9430284857571214,7.525687947821661,16.850790837196605,0.9922762693406125,0.9962676267626763,0.9802000682841631,0.9976357635763576
shuffle,0.3946524495027722,0.40106004132381123,0.3060109864070524,0.8071172248803827,0.9234234234234234,4.797523836220991,12.266024859858641,0.9864805824620171,0.995055505550555,0.97741789882669206,0.9958115811581157
shuffle,0.3922733111746981,0.3988505794772809,0.29966938937151977,0.8079450418160096,0.9136904761904762,4.825809715964587,10.765519342385163,0.9858135605696543,0.9949564805219716,0.9780210320970177,0.995931593159316
shuffle,0.3962033061391679,0.4022788233987225,0.3511358731070187,0.8041560771415758,0.9115442278860569,4.701536266343116,10.47740637853124,0.9862309362733112,0.9938433474127168,0.9769404230625706,0.9962436243624362
shuffle,0.39326840194591645,0.40005239345809085,0.3017193158769341,0.8094311377245509,0.9150521609538003,4.8738363091715176,10.954716265148779,0.9861384416039801,0.99414039646531,0.977044768370616,0.9956795679567957
shuffle,0.3911853773660028,0.39667294310803286,0.3877272339361098,0.8050898203592814,0.9251497005988024,4.730553981284246,12.57390207489108,0.9857923722328645,0.9949474947494751,0.9781200410350787,0.9963996399639964
shuffle,0.3965385611525648,0.40249116155189957,0.2931737950253626,0.8075714499476283,0.8945783132530121,4.811981677561419,8.621093012635106,0.9865181791741942,0.9948154815481548,0.9783108383179641,0.9959075907590759
shuffle,0.3949795905993817,0.40089757798298864,0.3500520563889321,0.8060460939838372,0.9169184290030211,4.761770324073524,11.221916533758636,0.9865454207911436,0.9953675367536754,0.9783694199893416,0.9960636063606361
shuffle,0.3947659260552066,0.4015452475188585,0.3677737959491621,0.8100374531835206,0.9278195488721804,4.8938155008516615,13.077005641541238,0.986216964834386,0.9946834683468347,0.9780152516833032,0.9958355835583559
shuffle,0.393468348261164,0.39981292627101356,0.3260947545608883,0.8075026154535944,0.918918918918919,4.810581077434602,11.52597963058865,0.9869469193637256,0.9957695515903943,0.9783038037411115,0.9967596759675968
shuffle,0.39318848077777324,0.3999246178892412,0.30864591412437614,0.8063743827622325,0.9204204204204204,4.772593789518053,11.763350266528251,0.9867324783478648,0.9946714671467146,0.9779566861684783,0.9963396339633963
shuffle,0.3943962370921779,0.39999471407955894,0.36287210748500387,0.8050822122571002,0.9285714285714286,4.731379133581288,13.228188328508311,0.9863710545061546,0.9944524286046219,0.977357582249889,0.9956915691569157
shuffle,0.3958542247436549,0.40230238465472656,0.31412395698979023,0.80595006727463,0.9129129129129129,4.75939911395565,10.65837061061927,0.9871050864251313,0.9951755175517553,0.9791522580491648,0.9967476747674768
shuffle,0.39805794670547084,0.4053698673579151,0.3195996494575642,0.8111992813295403,0.9246987951807228,4.93400211538412,12.490995277989331,0.98722156016604,0.9945034173801452,0.9785096643027666,0.9960396039603961
shuffle,0.3936368903077739,0.3985569137837979,0.3152949188229039,0.8123782406713622,0.9097744360902256,4.974145072644993,10.250703031410533,0.9876203442348537,0.9949114911491149,0.9789000316518536,0.9966276627662767
shuffle,0.39925394888883053,0.4051171143198866,0.31587616852764266,0.8088675853804673,0.9176646706586826,4.8544173973532825,11.334913012412555,0.9870480362611088,0.9956855426854488,0.9775006344956063,0.995895589558956
shuffle,0.39851131162774445,0.40406617253356536,0.31805907550881024,0.8094525874962608,0.9291101055806938,4.8752321642748715,13.333587436417517,0.9895079712695624,0.996015601560156,0.9795620922628807,0.9970117011701171
shuffle,0.39484129004773333,0.4005179261912875,0.3130728659370423,0.8082335329341317,0.9125188536953243,4.833650210861921,10.604810929797326,0.9874146031833171,0.994776430671236,0.9781674124650529,0.9956555655565558
shuffle,0.39693006394758285,0.40355741751786606,0.35574573191119074,0.8094952823124157,0.9131736526946108,4.875667456587979,10.69408250274936,0.9864597351868118,0.9946744514729783,0.9782748152436678,0.9964476447644764
shuffle,0.39581601539964534,0.40201437619063285,0.37370700928019257,0.8103139013452915,0.908955223880597,4.904917591814921,10.150253416756968,0.9871360125856998,0.995619535688706,0.9784558338222918,0.9961116111611161
