PRS_ID,N_TARGET_VARS,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
PGS000099,25964,1,1,1,1,1,1,1,1,1,1,1
PGS000174,252,1,1,0.56,1,0.99,1,0.99,1,0.99,0.98,0.99
PGS001219,12063,1,1,1,1,1,1,1,1,1,1,1
PGS001989,41803,1,1,1,1,1,1,1,1,1,1,1
PGS002206,494759,1,1,1,1,1,1,1,1,1,0.99,1
PGS002339,1088464,1,1,1,1,1,1,1,1,1,1,1
PGS002371,904822,0.99,1,0.88,0.99,0.98,0.99,0.98,0.96,0.96,0.95,0.94
PGS002411,13045,1,1,1,1,1,1,1,1,1,1,1
PGS002460,24743,1,1,1,1,1,1,1,1,1,1,1
PGS002509,64624,1,1,1,1,1,1,1,1,1,1,1
PGS002558,5531,1,1,0.99,1,1,1,1,1,0.98,1,0.99
PGS002607,3479,1,1,0.99,1,1,1,1,1,0.99,1,1
PGS002656,243585,1,1,1,1,1,1,1,1,1,1,1
PGS002705,846711,1,1,1,1,1,1,1,1,1,1,1
PGS003560,626829,1,1,1,1,1,1,1,1,1,1,1
