TYPE,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
original,0.0867332889504516,0.06874740314746702,0.036933105187436165,0.5116734693877552,0.5746031746031746,1.0534667159108981,1.3551041065811336,-0.21328388487625563,-0.19895649251962494,0.8497827231635139,0.8953855385538555
shuffle,0.0857092373682468,0.06793433709868921,0.03766625032645363,0.5117994100294986,0.5621019108280255,1.054034792167998,1.2870791500131173,-0.19828880700141915,-0.1986324591441858,0.8231833566008139,0.837011701170117
shuffle,0.0820478037484395,0.06459801529124316,0.03978264615010776,0.5123112278397899,0.5774193548387097,1.0564319075604212,1.3709127904716234,-0.20020937746113926,-0.2127484660975382,0.824777789081884,0.8568856885688569
shuffle,0.08249570957657305,0.06540891032711157,0.043075935304759644,0.5206896551724138,0.5741935483870968,1.0966489788234735,1.3527429325168017,-0.17591181458716035,-0.19073564577237295,0.8173712612574173,0.8435883588358836
shuffle,0.08251299297268279,0.06513942869167462,0.04235959678433058,0.5248401377274963,0.5739268680445151,1.1171750285051623,1.3513148337843501,-0.1789094706966964,-0.1969347832581542,0.8185445279556345,0.8541014101410142
shuffle,0.0824052747849349,0.06534139463990703,0.03848364309239484,0.5204850868567683,0.5863192182410424,1.0956708861643172,1.4224727104710935,-0.18072795772381872,-0.19099481844294644,0.8339131585547293,0.8835403540354037
shuffle,0.08555143959011717,0.06780925440655647,0.03457851956036021,0.5165302782324059,0.5887096774193549,1.0765193876266341,1.4367688181817577,-0.18677952536534145,-0.19808699722527182,0.8137084259958388,0.8371077107710772
shuffle,0.08573267572667885,0.06794837651061596,0.03793198463511697,0.5118794035720138,0.5636942675159236,1.0544118125836535,1.2955237884237651,-0.21207049795027444,-0.20902203755783688,0.8309410357962423,0.8576417641764177
shuffle,0.08565179252841049,0.06794270843299079,0.03542382699238003,0.5198490813648294,0.5850556438791733,1.0925546648566578,1.4151340996168584,-0.1884517524711261,-0.18147669210010306,0.8399806520923351,0.8885688568856887
shuffle,0.07957662136084968,0.06239641837079056,0.04386094354863022,0.5167078189300411,0.5957792207792207,1.077319907702899,1.479853042140369,-0.1888765116669429,-0.1978901637125855,0.8095995882537521,0.8488928892889289
shuffle,0.08450976138644412,0.06707347437065321,0.03662797126544602,0.520505249343832,0.5750798722044729,1.0957582519251874,1.3577495082449405,-0.18008915033880224,-0.20656899489393613,0.817897354522069,0.8457605760576058
shuffle,0.08040003578361016,0.063035695759549,0.044812023443038154,0.5089050131926122,0.5996758508914101,1.0404929164193837,1.5042855457142759,-0.197652084393696,-0.16545201973087403,0.7995969891263637,0.8282628262826283
shuffle,0.08063961290512273,0.06361701987546585,0.04439918690557258,0.5224322103533279,0.5935483870967742,1.1051997345079934,1.4661210317460316,-0.16943353297004182,-0.2217728385738897,0.812377058727516,0.8484728472847286
shuffle,0.08141636641328678,0.06463830775559794,0.04903726115742896,0.5127614029310061,0.5681818181818182,1.0585326957745975,1.3195861369085693,-0.14811177315779997,-0.15977893657015274,0.7722295122565739,0.7830783078307831
shuffle,0.08217155998982309,0.06460441841058989,0.04421397115857743,0.5170380078636959,0.6042003231017771,1.078951411743216,1.5332727804718407,-0.18031310486085567,-0.18509017483655418,0.8096906089491656,0.8530693069306932
shuffle,0.0817968484847008,0.06426001980479909,0.04090647594205932,0.5081562036579338,0.6065040650406504,1.0370318889763892,1.5482343081197256,-0.1943763683185011,-0.19900569162844814,0.8065657547703473,0.8466846684668466
shuffle,0.08226810553314802,0.06514023810492806,0.03889251575244325,0.515370705244123,0.5823817292006526,1.070928257150867,1.3993610414332283,-0.17763434030724748,-0.14228577783134194,0.8165483289739823,0.8362196219621963
shuffle,0.0818237771029815,0.06440957328693561,0.045981411920180564,0.5139186295503212,0.5852090032154341,1.064003422812411,1.4159797760878885,-0.18944754751229442,-0.17455745574557457,0.8110183531827202,0.838991899189919
shuffle,0.0846003366493722,0.06677574611055685,0.04335208619420705,0.51698670605613,0.5734597156398105,1.078687729475382,1.3487364389351149,-0.18390095189780967,-0.19026273864621893,0.8021885361310017,0.8332913291329133
shuffle,0.08319617031293071,0.06547605003902877,0.041943763167399735,0.516879711569977,0.5803858520900321,1.078186757094966,1.3878857879218551,-0.1752987371123384,-0.14901424255847462,0.8007707296273768,0.8011881188118812
shuffle,0.08120176147149784,0.06404524612893046,0.043284122087092744,0.5154351395730706,0.5652173913043478,1.0712455831920875,1.3036188342329493,-0.18173862953466746,-0.16782129946832094,0.8064225475199545,0.8318031803180318
shuffle,0.08237110611138582,0.06530195219983084,0.03848879821495799,0.5208982134076381,0.5846905537459284,1.0976910049128021,1.4128627823841684,-0.17820990450570148,-0.17380946667278305,0.8360054682101455,0.8915091509150915
shuffle,0.08402892985891941,0.06649569198937677,0.03830718814475343,0.5133409723358978,0.5741935483870968,1.0613126617865123,1.3527429325168017,-0.1964273206333145,-0.19846082301697637,0.8129634422934884,0.8438403840384039
shuffle,0.08156337389633722,0.0645825812036789,0.04495936920159571,0.5201314708299096,0.5756097560975609,1.09391200700896,1.3606504278247238,-0.1711791875899083,-0.16453144033563746,0.8091632410564781,0.8286348634863486
shuffle,0.08171881800349685,0.06419243174555349,0.04165342265983146,0.5154605263157894,0.590032154340836,1.0713530612075568,1.4447396621091968,-0.18709213770181718,-0.2075992511310755,0.8135713253884725,0.8676387638763876
shuffle,0.08562954947466689,0.06750415435911307,0.03701404058163012,0.5168005245041797,0.5942947702060222,1.0778044728014913,1.470816000535114,-0.213877038828224,-0.21203247544621429,0.8326384259475889,0.8737953795379538
shuffle,0.08398952019648828,0.06619153680355658,0.04164846173724363,0.5153606045671102,0.5830670926517572,1.0708855107655173,1.4034546652451265,-0.20436810892158158,-0.1678007800780078,0.8304283834388497,0.8667626762676268
shuffle,0.08472643941086933,0.06729949675794487,0.04240079796328859,0.521048321048321,0.569377990430622,1.0984343443087734,1.326173040719236,-0.16209262938077718,-0.15247661995775139,0.8048757043276829,0.8306510651065108
shuffle,0.08430683909203153,0.06641965248209045,0.037421856637472925,0.5131018670160498,0.5812101910828026,1.0601781292488375,1.3926877336876606,-0.19728123228079683,-0.2072116943097788,0.821622408624511,0.8604620462046204
shuffle,0.08133059659702993,0.0639805392175562,0.0447240675847145,0.5213464696223317,0.5673076923076923,1.0998677854805412,1.3148947888609734,-0.19678556645093842,-0.18357966242991017,0.8246041484148843,0.8452445244524454
shuffle,0.08308213450715864,0.06583788862278335,0.040312948716338136,0.5167895167895168,0.5542949756888168,1.0777575838125515,1.246506358638307,-0.1743846969575615,-0.1762736273627363,0.8203790327313772,0.8572937293729374
shuffle,0.08337246971379768,0.06570175342190937,0.0367089941372785,0.51750780864704915,0.5745682888540031,1.0811819479571765,1.3549571851944315,-0.18569047623183904,-0.18957752648608128,0.8156539316429667,0.8432163216321632
shuffle,0.0853735001657301,0.06726944865205428,0.03755660030282369,0.5187428384350957,0.5927099841521395,1.087197623146259,1.4610869824436072,-0.2014176767846146,-0.2012487286199536,0.8288428081518981,0.8655385538553856
shuffle,0.08196314479874117,0.06453021061900349,0.03971354578301277,0.5118949958982772,0.5762987012987013,1.054476754730669,1.3645404009479096,-0.19381701727414116,-0.1878444750553896,0.8146570195501742,0.8603780378037804
shuffle,0.07988465570932674,0.06300623736112358,0.048943895178844524,0.5228318002628121,0.5957792207792207,1.1071787447577028,1.479853042140369,-0.1502664763792284,-0.16662666219816466,0.7831923240631091,0.8174617461746174
shuffle,0.08249320787433008,0.06540630680388744,0.04311437433748949,0.5206896551724138,0.5741935483870968,1.0966489788234735,1.3527429325168017,-0.17680162524316406,-0.2077072632284382,0.8148796111503429,0.8445964596459646
shuffle,0.08074390456658427,0.06339072399185873,0.05059784279044709,0.5137403324008557,0.5728,1.0631656008784496,1.3450126221679604,-0.18953222911974932,-0.14429816140446794,0.8102349844707136,0.8250825082508252
shuffle,0.08203206151510878,0.064822590652834855,0.03993076326469139,0.5127278699293808,0.5761047463175123,1.0583924733435799,1.3634104345674147,-0.179322484706963,-0.18521452145214523,0.8004039407163572,0.8242904290429044
shuffle,0.08345028046593693,0.06617569738461675,0.03823469916672973,0.5190702242592896,0.5652173913043478,1.088787105300665,1.3036188342329493,-0.193219293473717,-0.13767218023518382,0.8217504469761052,0.8526252625262526
shuffle,0.08199133222902957,0.06474385622363275,0.044566478114222575,0.5209531635168447,0.576,1.0979295882009696,1.362919223139733,-0.18466683451812652,-0.15928088377654767,0.7880315718770504,0.7994479447944794
shuffle,0.08253601213118564,0.06515937150457492,0.04271523457246794,0.5236142997704165,0.5773524720893142,1.1110744623646354,1.3705840816384067,-0.1812541317772435,-0.1948166505684673,0.8170706658842909,0.8603180318031803
shuffle,0.08266141709478353,0.06555322817154262,0.038039539269306394,0.5201639344262295,0.5821138211382114,1.0940980029090324,1.3978207474252347,-0.18785149959216568,-0.17414393682627685,0.8363595100762875,0.881968196819682
shuffle,0.08310290639883704,0.06541547975883118,0.03828025792824266,0.5171962004585653,0.5758064516129032,1.079716181161394,1.3617930562758558,-0.18476358066872645,-0.19426459205025443,0.8157159020926725,0.8530213021302131
shuffle,0.083719512526138,0.06632989163346406,0.036314181296211466,0.5199607329842932,0.5753646677471637,1.093128179058066,1.3592862272742467,-0.18367239651012995,-0.15523045443096412,0.8290326617627536,0.8542814281428143
shuffle,0.08215536412359217,0.06470378435466012,0.04971121158740314,0.5153808192136865,0.579454253611557,1.0709710623780375,1.3825417226498533,-0.1892888543938272,-0.162127131027729,0.813155207023286,0.8385958595859587
shuffle,0.08049272845139871,0.06325284177682065,0.05122838007749084,0.5145631067961165,0.5971107544141252,1.067071698961808,1.4882142851342286,-0.17980251196973926,-0.1957808642411298,0.8100390804637982,0.83990399039904
shuffle,0.08128383705059487,0.06404722016611526,0.0482731318887012,0.5202435813034891,0.5925324675324676,1.094442666045969,1.4598630915322512,-0.148338243146539,-0.11608935028834473,0.7712397092068236,0.7894269426942695
shuffle,0.08332862506498313,0.06561934174615469,0.03675799592697492,0.5171903273564731,0.5752351097178683,1.0796461588237187,1.358705402549423,-0.1887637200279825,-0.17549670864005334,0.8186775261486776,0.8504290429042906
shuffle,0.08082248382384905,0.06351858364868548,0.042636434693720034,0.5155248891079349,0.5741935483870968,1.0716702121288755,1.3527429325168017,-0.19359750234216544,-0.1860879584092421,0.8231285463580386,0.8657425742574257
shuffle,0.083966864136927,0.06597600546888589,0.038124307691413756,0.516218872870249,0.5907643312101911,1.0750162087837436,1.449219324683235,-0.21318887909738968,-0.23646396297274,0.8219049774921777,0.8541734173417342
shuffle,0.08135127494614139,0.0643626286527409,0.04341671434274851,0.5129133081098864,0.564437194127243,1.059256332067091,1.2993989337372815,-0.1916235250302911,-0.19374969998034935,0.8188678989447178,0.8384638463846384
shuffle,0.08488433628713557,0.06724988456092366,0.04299560589023288,0.5156994903830346,0.5817307692307693,1.0724992295676592,1.395669697839143,-0.18785665435029927,-0.1924049721497576,0.8271009791589478,0.861950195019502
