TYPE,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
original,0.28819894129352064,0.2814664332033072,0.12579829155984787,0.7124054462934947,0.8075187969924812,2.724029144957053,4.248478454470992,0.9715769011543043,0.9855025502550255,0.9718632857808145,0.991815181518152
shuffle,0.2813977586439171,0.27455106936674034,0.1543650138800638,0.7093640916679314,0.7957957957957958,2.679475674783338,3.9446279902566723,0.9730351254893704,0.9892468601849879,0.9712150905861031,0.9914071407140714
shuffle,0.281785295362254,0.2749594728792218,0.13582405661197164,0.7073022620312738,0.7931034482758621,2.650345251115171,3.8797678275290224,0.9713494188077991,0.9866186618661866,0.9719518003932773,0.9931113111311132
shuffle,0.285457711822994,0.27890671137677103,0.1642017629998942,0.7073244552058111,0.8162650602409639,2.6515245884239445,4.500442422264433,0.9733194531859224,0.9864506450645064,0.9715723998888179,0.9926792679267926
shuffle,0.28600465123504343,0.2794713307224797,0.18355158580142003,0.7085351089588378,0.8102409638554217,2.668541222333544,4.32434932017647,0.9682353084090696,0.980969039815516,0.9693505166051661,0.9890669066906691
shuffle,0.281785295362254,0.2749594728792218,0.13582405661197164,0.7073022620312738,0.7931034482758621,2.650345251115171,3.8797678275290224,0.9713494188077991,0.9866186618661866,0.9719518003932773,0.9931113111311132
shuffle,0.2854889407937299,0.2788214169847222,0.12946462564067288,0.7109363182574497,0.8012048192771084,2.702859734228508,4.080248994675102,0.9725262807572828,0.9864266426642665,0.9710145175981464,0.9897749774977498
shuffle,0.28327518921190115,0.2767518179487897,0.20606953497532585,0.708554125662377,0.7972972972972973,2.668683942785325,3.981589871957312,0.9710619556423404,0.9861175701141599,0.9709201810886727,0.9905550555055506
shuffle,0.28600465123504343,0.2794713307224797,0.18355158580142003,0.7085351089588378,0.8102409638554217,2.668541222333544,4.32434932017647,0.9682353084090696,0.980969039815516,0.9693505166051661,0.9890669066906691
shuffle,0.2824072505803979,0.2755350261447262,0.13238554880779863,0.708649468892261,0.7897897897897898,2.6694013185093315,3.8020697600508497,0.9698120795324244,0.9862795868018794,0.9705925660606797,0.9903990399039904
shuffle,0.28490621929270127,0.27822684420749266,0.14000913243145743,0.7100242277407631,0.8042168674698795,2.689504538614679,4.159108285706135,0.9739476119659418,0.9875667566756676,0.9726118602647686,0.9917911791179118
shuffle,0.28585082756505037,0.27947162575872103,0.1777241308750235,0.7089315399727973,0.8174962292609351,2.674524169696332,4.537774634731591,0.9725829634237901,0.987914791479148,0.9717624148179138,0.993015301530153
shuffle,0.2848973525881085,0.27851259211429863,0.20821852232569493,0.7059978848768697,0.8190045248868778,2.6334955810279768,4.58431307385538,0.9720174740206067,0.988091773457113,0.9704301155308753,0.9915631563156316
shuffle,0.2849344386234971,0.27858988665633744,0.16814764613738914,0.7086733152009671,0.8147590361445783,2.6709129734263275,4.455343865318465,0.9708327299259868,0.9852625262526252,0.9695718139100631,0.9887308730873087
shuffle,0.2876911901935758,0.2811133432327708,0.1349931614666699,0.709701831390949,0.8102409638554217,2.68503773688647,4.32434932017647,0.9687715524316706,0.9832103210321033,0.9700935823985847,0.9892109210921092
shuffle,0.28598097002918377,0.27913670715994326,0.12098128699371231,0.7132263922518159,0.803921568627451,2.7358931099233885,4.151191395988504,0.970413813197342,0.986093567641905,0.9705854300505435,0.9904110411041105
shuffle,0.2844499280531814,0.2778209467650573,0.16948831206972031,0.7116229731777542,0.7841079460269865,2.71222772956877,3.6745847536757266,0.9692571464313925,0.9833572858048636,0.9705287317522399,0.9892589258925892
shuffle,0.2841429161280366,0.27767314816788585,0.2081576220771924,0.7092917675544794,0.8045112781954887,2.679251525200384,4.167025664800351,0.9684340447334766,0.9830452536655517,0.9692557967707591,0.9901470147014703
shuffle,0.28353938670445644,0.2770294335417015,0.1756983612478402,0.7079672826416238,0.7946026986506747,2.660291731421036,3.915715535986575,0.9721059648350718,0.9870147014701471,0.9707835622180343,0.9903750375037504
shuffle,0.28564507511000914,0.27894213188433503,0.1612813983992234,0.7091597274791824,0.815592203898051,2.6772518375720407,4.480465535503065,0.9701542870942402,0.985022502250225,0.9700193305129048,0.9895589558955896
shuffle,0.28525439635609906,0.2787785816023932,0.1557265090216214,0.7096383719170828,0.7969924812030075,2.68421939618374,3.9739687771826206,0.9726822788482097,0.9895228894440943,0.9707335815561973,0.9907230723072308
shuffle,0.2813977586439171,0.27455106936674034,0.1543650138800638,0.7093640916679314,0.7957957957957958,2.679475674783338,3.9446279902566723,0.9730351254893704,0.9892468601849879,0.9712150905861031,0.9914071407140714
shuffle,0.2854889407937299,0.2788214169847222,0.12946462564067288,0.7109363182574497,0.8012048192771084,2.702859734228508,4.080248994675102,0.9725262807572828,0.9864266426642665,0.9710145175981464,0.9897749774977498
shuffle,0.2847833335516522,0.27775928352566626,0.12790914319603086,0.7111043781245265,0.7991004497751124,2.7048449452231256,4.026783519125944,0.9716846138177946,0.9877676667156811,0.971160547306224,0.9915751575157516
shuffle,0.285593768102917,0.27885218812096974,0.16552598171705313,0.7125757575757575,0.7954887218045112,2.7260663444355986,3.9370636314227174,0.9730558642864071,0.9878157450261834,0.972401391042742,0.9937713771377138
shuffle,0.28132706087663867,0.2745165444089573,0.14676689101033596,0.7088838268792711,0.7904191616766467,2.6725032436209712,3.8167621637370113,0.9712894536699495,0.9863155905102615,0.9722733504357481,0.9926432643264327
shuffle,0.2859174870973819,0.27906747811695926,0.12110517027047588,0.7130540009075783,0.803921568627451,2.733509184081863,4.151191395988504,0.9734443575956372,0.9875067506750675,0.9711475489046882,0.9896669666966698
shuffle,0.28522317336706365,0.2781968998710931,0.11891041521656746,0.7123598909421387,0.8033033033033034,2.723019565803969,4.135090084829439,0.9735860922021574,0.9895349534953496,0.9720835676743093,0.9917311731173117
shuffle,0.2848547965228557,0.27841408652774857,0.1744151572837888,0.7057756274569096,0.8177710843373494,2.630211734112512,4.546287455732478,0.9718825487930058,0.9861506150615063,0.97116871112066006,0.9916231623162317
shuffle,0.2813977586439171,0.27455106936674034,0.1543650138800638,0.7093640916679314,0.7957957957957958,2.679475674783338,3.9446279902566723,0.9730351254893704,0.9892468601849879,0.9712150905861031,0.9914071407140714
shuffle,0.28576092425761146,0.2790745217280726,0.13631476069288737,0.7109090909090909,0.7927927927927928,2.7019965731991347,3.8723140129459406,0.9684996351821714,0.9821182118211822,0.9711328175089481,0.9894869486948696
shuffle,0.2824072505803979,0.2755350261447262,0.13238554880779863,0.708649468892261,0.7897897897897898,2.6694013185093315,3.8020697600508497,0.9698120795324244,0.9862795868018794,0.9705925660606797,0.9903990399039904
shuffle,0.2846362010733236,0.27801413044832773,0.14358128714216795,0.7090523766273085,0.7981927710843374,2.6757724849208464,4.003747486301497,0.9720262028425195,0.9822861223466518,0.9728898348153817,0.9907470747074708
shuffle,0.2851198352223152,0.2786146120503233,0.1691395197307652,0.7061582690270842,0.8162650602409639,2.635311884351395,4.500442422264433,0.971786836334402,0.9837141760585539,0.9703901938005447,0.9897389738973897
shuffle,0.2839317257717243,0.2768188165652122,0.1261083117186995,0.7124867243210439,0.8054298642533937,2.7243809242521153,4.191477372371898,0.9702095932974035,0.9843504350435044,0.9692342047506003,0.9887188718871888
shuffle,0.28656487351719673,0.27987331168506224,0.16440401213861647,0.7102436072022998,0.8078078078078078,2.6928498644512646,4.256521524944363,0.970605458122727,0.9858865886588659,0.9710605074910854,0.9917071707170718
shuffle,0.286501456491569,0.2798118917627931,0.16814399719038578,0.71123884435032525,0.8078078078078078,2.707209611020758,4.256521524944363,0.9718917167908687,0.9866786678667868,0.9722901662344139,0.9928352835283528
shuffle,0.2812163200632522,0.27439992145974745,0.14553453350464846,0.7082763857251329,0.7942942942942943,2.663931449706915,3.9082066207025354,0.9715025147084126,0.9873027302730274,0.9699220588135073,0.9902070207020702
shuffle,0.2876911901935758,0.2811133432327708,0.1349931614666699,0.709701831390949,0.8102409638554217,2.68503773688647,4.32434932017647,0.9687715524316706,0.9832103210321033,0.9700935823985847,0.9892109210921092
shuffle,0.2851293203209079,0.27862875479609017,0.15436205003570216,0.7095065092340297,0.7946026986506747,2.682217069253939,3.915715535986575,0.9721505488621734,0.9855954299417847,0.9708573602285019,0.9906030603060306
shuffle,0.28327518921190115,0.2767518179487897,0.20606953497532585,0.708554125662377,0.7972972972972973,2.668683942785325,3.981589871957312,0.9710619556423404,0.9861175701141599,0.9709201810886727,0.9905550555055506
shuffle,0.2840282490284252,0.2776022467810496,0.20613334621953208,0.7048957388939256,0.8205128205128205,2.618229364376397,4.631634735140577,0.9713921102186167,0.9864355215117999,0.9703199085080064,0.9911191119111912
shuffle,0.28476280610618404,0.2784220173483182,0.16933053726214445,0.7091211617001967,0.8072289156626506,2.676958070451036,4.240435881189344,0.9732541637954503,0.9893429342934295,0.9730846342605022,0.9932913291329133
shuffle,0.2864481939492095,0.2800079187822141,0.15334616010335253,0.7082388510959939,0.8190045248868778,2.664656066382967,4.58431307385538,0.971856749169571,0.9888358500970104,0.9718171248788985,0.9926432643264327
shuffle,0.28101319632033755,0.27420899091400824,0.15628058064545766,0.7082385070550751,0.7919161676646707,2.663648622339195,3.851738225624192,0.9706927859605854,0.9852625262526252,0.9707495104130031,0.9904830483048306
shuffle,0.2830279782793387,0.27634420536915544,0.1831724015532141,0.7077646345162268,0.7949101796407185,2.6571126638185047,3.923224915371189,0.9695349932855277,0.9850585058505852,0.9693553745327649,0.9897629762976299
shuffle,0.28734804505957573,0.2808239106469797,0.13850312258180808,0.7081882851521114,0.8117469879518072,2.6636095753532474,4.367314518871133,0.9700866950401837,0.9840653587363787,0.9700605780039664,0.9905550555055506
shuffle,0.28657261190975514,0.28015602658353395,0.15469190474578007,0.7096432889963724,0.8190045248868778,2.6845861059648266,4.58431307385538,0.9712315721283076,0.9853465346534654,0.9718250394599889,0.9915391539153915
shuffle,0.2841429161280366,0.27767314816788585,0.2081576220771924,0.7092917675544794,0.8045112781954887,2.679251525200384,4.167025664800351,0.9684340447334766,0.9830452536655517,0.9692557967707591,0.9901470147014703
shuffle,0.2830279782793387,0.27634420536915544,0.1831724015532141,0.7077646345162268,0.7949101796407185,2.6571126638185047,3.923224915371189,0.9695349932855277,0.9850585058505852,0.9693553745327649,0.9897629762976299
shuffle,0.28519151123434666,0.2787065704283038,0.16923757536092474,0.705446293494705,0.8159879336349924,2.6254949850857847,4.492000158111661,0.9705082000709051,0.9843984398439845,0.9711580217104346,0.9932793279327934
shuffle,0.28491759851203413,0.2781226365668797,0.1393522791278164,0.71240345297592,0.8075187969924812,2.7236951915783085,4.248478454470992,0.9719514799516628,0.9844914026189004,0.9706202832180634,0.9896789678967898
shuffle,0.28357680563359194,0.2771386523416855,0.20980645755094185,0.7087114337568058,0.7987987987987988,2.671199838647752,4.019104366910119,0.9700680523466402,0.9843923456063552,0.9698560778712586,0.9894989498949895
shuffle,0.2843276323852177,0.2777280833097601,0.15264733947340486,0.7102436072022998,0.7984962406015037,2.6928498644512646,4.011425689316634,0.9701332737064061,0.9820942094209422,0.9710571305838616,0.9906150615061506
shuffle,0.285593768102917,0.27885218812096974,0.16552598171705313,0.7125757575757575,0.7954887218045112,2.7260663444355986,3.9370636314227174,0.9730558642864071,0.9878157450261834,0.972401391042742,0.9937713771377138
