VAR_BETAS,MAX_ABS_BETAS,MEAN_ABS_BETAS,VAR_PP_CORS,MAX_ABS_PP_CORS,MEAN_ABS_PP_CORS
1.220574339718714e-7,4.957658945296197e-4,3.325582017967539e-4,0.010595151803915796,0.25968514191754805,0.08437657773797151
1.2199467508373634e-7,4.968612399987372e-4,3.323666324710244e-4,0.010056558569963781,0.359029734926376,0.07872056344302206
1.2199574938203718e-7,4.948236685350675e-4,3.3240660803931073e-4,0.008271780353437796,0.22595617353060013,0.07275971601721273
1.219476104433653e-7,4.976464630184981e-4,3.3232980014557287e-4,0.012617408490087875,0.3453216610329246,0.08799516086507281
1.21912163612792e-7,4.949639494937728e-4,3.3228858032707315e-4,0.009973713226877423,0.3041096009252524,0.08132956444764276
1.219321303442636e-7,4.94325260546312e-4,3.323116206252533e-4,0.010902636385042191,0.32671884631116965,0.08391184329548297
1.2201197672524842e-7,4.949073135729167e-4,3.324433589425829e-4,0.008977541406211313,0.2470738953040752,0.07749002274967917
1.2195705743185015e-7,4.947154738027448e-4,3.3235042377864106e-4,0.01003900178928214,0.2375529066231726,0.08103128375894933
1.2203751390088717e-7,4.935099504097867e-4,3.324827316000692e-4,0.009321769351127883,0.2815966551425495,0.07729302615419693
1.2194708650887878e-7,4.934579079731175e-4,3.324000991151082e-4,0.010181189140625891,0.3519293981545264,0.07570585364930532
1.2202346976031225e-7,4.950693416276083e-4,3.3251816916726176e-4,0.00876456946006631,0.28833737310104546,0.07453130852172504
1.2198077518942557e-7,4.934691006592295e-4,3.324009744075032e-4,0.0097102813363988,0.2701828115266109,0.07863208452068697
1.2194866508448196e-7,4.94227849713518e-4,3.3231781382072316e-4,0.009331244650923585,0.28916590177179324,0.07455258547042855
1.2199565342433456e-7,4.932284722362541e-4,3.323948882078125e-4,0.011982593957688484,0.2673538408235911,0.08847913628994229
1.2195407907596536e-7,4.944227262670206e-4,3.3238835154297266e-4,0.010384107421139797,0.26415436696983813,0.0819158183198804
1.2190035665133358e-7,4.960836747943377e-4,3.3226409303184707e-4,0.01148787904747066,0.27245449207032907,0.08644458248381859
1.220243631733314e-7,4.954534373269554e-4,3.324360019864547e-4,0.01104745081264782,0.3043714951701847,0.08582625996250952
1.2202894905842184e-7,4.953502514726782e-4,3.324572283529826e-4,0.010407964638577731,0.30394428354081293,0.08257372740251277
1.2193686363394875e-7,4.944608735028275e-4,3.3232935148674576e-4,0.00947391260006882,0.2664734713118409,0.07625191630949081
1.2195517766944438e-7,4.93380307982528e-4,3.323342327516493e-4,0.007897577667873027,0.24462886094941189,0.07076520938380858
1.2189237496029758e-7,4.942434451765738e-4,3.322447908942873e-4,0.01034620998423102,0.29816697537196796,0.08356392259416047
1.219852848142706e-7,4.944607196429689e-4,3.3232794321989893e-4,0.01010847361514332,0.33636975255094026,0.08044427829509226
1.2200043641682978e-7,4.953460680187453e-4,3.3239256680984834e-4,0.010488237797532805,0.34218227413539976,0.08133764368173545
1.22059670933762e-7,4.934098333503335e-4,3.325358271493647e-4,0.009012090325137164,0.25605032789568244,0.07704137351314634
1.2198828821850917e-7,4.950085937537012e-4,3.3234274884289124e-4,0.01023608546583456,0.3308029436868472,0.07934062615536394
