VAR_BETAS,MAX_ABS_BETAS,MEAN_ABS_BETAS,VAR_PP_CORS,MAX_ABS_PP_CORS,MEAN_ABS_PP_CORS
1.2195226533353716e-7,4.94909360709646e-4,3.323446519239174e-4,0.00990809316768604,0.2881402376580813,0.07953160245912796
1.2198136486665093e-7,4.946152185315295e-4,3.3242628996752957e-4,0.009691924803849861,0.2735322248215734,0.07771765554973173
1.2193341674410387e-7,4.942683847239277e-4,3.3233453989008283e-4,0.009545966728369326,0.28497819657610646,0.07831063110848212
1.2189533047801492e-7,4.960579070396763e-4,3.323240772617166e-4,0.012303305517331931,0.2975938758152273,0.09256393739497536
1.219697780944007e-7,4.942005035103027e-4,3.3237858795417936e-4,0.010028774583564498,0.3054834489256636,0.0805117322582857
1.219021218599666e-7,4.942455959120289e-4,3.322641839541259e-4,0.009651425060038986,0.30794679320286894,0.07839198885093453
1.2199358870752116e-7,4.943248969886884e-4,3.324093701978829e-4,0.008147585981561062,0.22290097586392427,0.07192867615608858
1.2194363034798846e-7,4.945212550142214e-4,3.3231590292201945e-4,0.009224224696639496,0.25958995414736025,0.07807091406434731
1.2196665258691355e-7,4.941667192936125e-4,3.323625347089842e-4,0.010008618781523475,0.27891379241188446,0.08038001165168965
1.2201227953443232e-7,4.948772594431273e-4,3.324393081315307e-4,0.01060244119282924,0.2724403242161089,0.08176319052956842
1.2196287813835981e-7,4.943753803216214e-4,3.3243585991787395e-4,0.009746852668761135,0.3258565483509003,0.07899429943075124
1.2199449174618524e-7,4.947093188654057e-4,3.3241938939799554e-4,0.009755345597915585,0.2585960636143207,0.07986076478132971
1.2198107260900084e-7,4.947513828097107e-4,3.3242629635367443e-4,0.010514702010660392,0.2757046672811102,0.08078593908340526
1.2200738333283022e-7,4.948255247332068e-4,3.3242850157645215e-4,0.011524421983797266,0.30574503819183896,0.08703393582852903
1.2196375675041008e-7,4.950891037666334e-4,3.323840056102864e-4,0.008769972209925104,0.3202163340544568,0.0774321340657335
1.2198816339380637e-7,4.938249060724001e-4,3.3239360324837725e-4,0.012161910740695201,0.29392762795134286,0.08934223023880816
1.2192934384962037e-7,4.944188172675367e-4,3.322851021183052e-4,0.008750232038386438,0.28499181082880687,0.07504259697198287
1.219510389474033e-7,4.94844614793082e-4,3.323319301287136e-4,0.011043186814510117,0.3283341879421027,0.08228060601823728
1.2193520445444978e-7,4.944427314683764e-4,3.323202107274396e-4,0.00850002427393971,0.31487172688619036,0.07113983332236785
1.2190402579937582e-7,4.956117186687001e-4,3.3230483609913763e-4,0.010823291143168646,0.3004240544462446,0.08482936544344565
