VAR_BETAS,MAX_ABS_BETAS,MEAN_ABS_BETAS,VAR_PP_CORS,MAX_ABS_PP_CORS,MEAN_ABS_PP_CORS
1.219307448283402e-7,4.94280279838182e-4,3.323395813493497e-4,0.010262589026533403,0.29587050366567474,0.07990877195189365
1.219491846105566e-7,4.940677501873938e-4,3.3233382987285254e-4,0.009742109520140839,0.2728427758424461,0.0762809992025329
1.2192758932349787e-7,4.95194901075182e-4,0.00033229204374349936,0.009933556508610015,0.32629075653823847,0.07859892255014779
1.2199741819281303e-7,4.95266563114549e-4,3.3244598845784444e-4,0.009793996013252714,0.3633498569378246,0.07782567908092783
1.2201044693406338e-7,4.966323703483083e-4,3.324600243006937e-4,0.009824939057484256,0.2939651523880666,0.07732768305401101
1.219503475578777e-7,4.951570870051676e-4,3.323853989812184e-4,0.010252848784899977,0.28587521041495856,0.08106463251517212
1.2194399630616385e-7,4.94251796184957e-4,3.323344137454834e-4,0.009948123060788464,0.24636989387348077,0.07897920232348091
1.2199081113915033e-7,4.944383841812857e-4,3.3241141935820253e-4,0.009108653010346968,0.30748115188756947,0.07455617601490935
1.2196993600788583e-7,4.942496119995455e-4,3.3235529648214916e-4,0.009205246452886397,0.25578854195660494,0.07656946881994565
1.2196529451887693e-7,4.956644214837837e-4,3.323466204478814e-4,0.008991476913948462,0.23506744314582542,0.0754622907663262
1.219904515427305e-7,4.9500950516055e-4,3.3238434701151525e-4,0.009330839278910959,0.29778213773219336,0.07527447948881032
1.2198573869113957e-7,4.949918342751766e-4,3.3243551217137477e-4,0.007111659435506313,0.21996661528267003,0.06798836244237724
1.22008581626455e-7,4.948839410679975e-4,3.3241693482092324e-4,0.009453803066886314,0.3100987088238156,0.0766679174329625
1.21956189000639e-7,4.951646978101484e-4,3.3234376050604055e-4,0.01002077543903571,0.39564551180455576,0.07818840646808793
1.219938735971239e-7,4.946433444735534e-4,3.3240161977823336e-4,0.012672767075555652,0.30930851831023476,0.08959917280680008
1.2191722538211235e-7,4.940129416292248e-4,3.32328063502511e-4,0.009956530773254089,0.26851884083417554,0.07737749914124488
1.2201503488647897e-7,4.938000030339203e-4,3.324402843706207e-4,0.00835693225554344,0.24407638477288934,0.0754174439665394
1.2196275628979092e-7,4.942918148556708e-4,3.3240308255740183e-4,0.009870774008231883,0.28519006380122247,0.07843760123819371
1.219974418344252e-7,4.945698904627108e-4,3.3242399807380116e-4,0.007960922868803748,0.25429837327344496,0.07136727058498744
1.219628910243978e-7,4.947144299764467e-4,3.323810825880525e-4,0.010945257296176085,0.2806694323203974,0.08149648855038795
1.2197283478396794e-7,4.953877365588253e-4,3.3242422444869634e-4,0.009250387733952587,0.2738682343517113,0.07817164853177455
1.2199623019637346e-7,4.936231072933784e-4,3.324225044329464e-4,0.009244169505310738,0.3081199232411695,0.07655907173371047
1.219950548541512e-7,4.941297794078983e-4,3.324685664151394e-4,0.00863381396536418,0.2611824066803518,0.07347573021398018
1.2198777360502268e-7,4.94776246490653e-4,3.3242186303124267e-4,0.00960875972405376,0.27239090846600333,0.07961110243402274
1.219529017064146e-7,4.93575272842465e-4,3.324416316073921e-4,0.010112748671618675,0.3126816844167215,0.08099208409873887
