VAR_BETAS,MAX_ABS_BETAS,MEAN_ABS_BETAS,VAR_PP_CORS,MAX_ABS_PP_CORS,MEAN_ABS_PP_CORS
1.219998773858755e-7,4.951594669755813e-4,3.324106654160309e-4,0.009310863256620611,0.2761494912830454,0.07847902334193683
1.220042467412556e-7,4.949316906550183e-4,3.3242833100079525e-4,0.012341072140834207,0.33858063501842056,0.0904298911945435
1.2195322710213556e-7,4.94493094873456e-4,3.3234799958102655e-4,0.010263720195031327,0.30134719774279567,0.08069472956805437
1.219365864428417e-7,4.95014037450063e-4,3.3228606732553414e-4,0.011745506378639683,0.27271112005235754,0.08737790106181803
1.2193238766235495e-7,4.953343700349271e-4,3.323227266729021e-4,0.00929464537502588,0.28563171364236667,0.07830577982755381
1.2194253505847492e-7,4.937540247576962e-4,3.323306011719105e-4,0.009027423498704447,0.40069577230926934,0.07436569489002542
1.2200441709678655e-7,4.945595337949447e-4,3.3245393914930707e-4,0.010366262207189291,0.23822805107772252,0.08088358608449868
1.219830699929811e-7,4.942682505114877e-4,3.324222079686229e-4,0.010092949533825822,0.32424695878431,0.08019840756821417
1.2196913041002146e-7,4.947749550874087e-4,3.3238820828266133e-4,0.00839423229196374,0.2449553915964584,0.07381212266576054
1.2201204280934405e-7,4.949706744983727e-4,3.324367724849208e-4,0.009972796687338699,0.3329783816914581,0.08057803905252953
1.2200808773640993e-7,4.957490045759611e-4,3.3247544349391134e-4,0.01188621488239345,0.33020657503043327,0.08898290744669922
1.2198077136621478e-7,4.950832085238316e-4,3.323790660797558e-4,0.010721614905310886,0.2980877788274079,0.08250195878699498
1.2198331188627048e-7,4.949320938733225e-4,3.32406864419167e-4,0.010994382551666503,0.3266857105351202,0.08249228971879563
1.2197356409329328e-7,4.9445346988011e-4,3.3237579123260807e-4,0.010606616231942917,0.35710494762187345,0.0813155862038324
1.2191898487982248e-7,4.940711855850332e-4,3.32316542753335e-4,0.010813855299174705,0.33982348772171406,0.08325500238091477
1.2196392779899355e-7,4.933750078635173e-4,3.323241387842183e-4,0.009646994241914807,0.28901058066252694,0.07953934543082067
1.2196796416738072e-7,4.960704056739084e-4,3.32386703246416e-4,0.010976774977111902,0.3406025950082913,0.0866074942257194
1.219847713249464e-7,4.94944449404746e-4,3.324078384540484e-4,0.009939837415890614,0.27275401984421577,0.08121878837369205
1.2201812029758662e-7,4.93563087215913e-4,3.324604568307552e-4,0.011453671754545479,0.29052447125007086,0.08567888557104811
