VAR_BETAS,MAX_ABS_BETAS,MEAN_ABS_BETAS,VAR_PP_CORS,MAX_ABS_PP_CORS,MEAN_ABS_PP_CORS
1.2200403668814226e-7,4.941801278285157e-4,3.324200724511164e-4,0.009139486091979659,0.3300681132112057,0.07641940518410795
1.219862984303071e-7,4.945052276908983e-4,3.324167759506343e-4,0.010285592453660801,0.31654556115332133,0.08229348650599023
1.2198303458760902e-7,4.947697311046507e-4,3.32400765127955e-4,0.01192510998396711,0.24743379244215002,0.08966267772995135
1.2196412566373313e-7,4.953522552488055e-4,3.3240553688798825e-4,0.008402253853182164,0.2871362408599619,0.0746868993614559
1.2193052534031159e-7,4.944950908596986e-4,3.3231471744641874e-4,0.010191770886960874,0.28797096497121694,0.08008051717776737
1.2202178310703843e-7,4.940107664590718e-4,3.324862257375809e-4,0.010106116909550539,0.3061876804552001,0.07799064866301719
1.2199820081205013e-7,4.952630819804916e-4,3.3242295341912796e-4,0.009695824081320194,0.25457193109322507,0.08196385011505374
1.2199426289763234e-7,4.954184439639607e-4,3.3240926199652374e-4,0.010486265963078735,0.34377567719806623,0.07975042400450308
1.219972997601753e-7,4.952648198847897e-4,3.324146834807412e-4,0.01135266605455398,0.29475643562377235,0.08499183331541876
1.2196953698733486e-7,4.951763798062014e-4,3.3238392991476976e-4,0.010220771802013421,0.3225607746722502,0.0809755651795843
1.2191001689174617e-7,4.93240967871239e-4,3.322887528683909e-4,0.010236674811221102,0.305758749621205,0.08154264594687712
1.219707414212659e-7,4.934794465713433e-4,3.323669700939225e-4,0.009457174123545955,0.27342702642309735,0.0767150819281401
1.2196723395498917e-7,4.942092427591983e-4,3.3235074519155313e-4,0.012161595933886993,0.3325884305388988,0.08885606589188783
1.219552176945905e-7,4.941617917017264e-4,3.323563032682882e-4,0.008409191199293124,0.2953382937599633,0.07319889451746951
1.2201672710523264e-7,4.940221580614483e-4,3.324682548566544e-4,0.011445339708464737,0.3146858855712158,0.08589947115107856
1.2195418189603666e-7,4.946966439561074e-4,3.323893650442532e-4,0.00993285336713863,0.32297549722876095,0.07863269678169031
1.21963378329729e-7,4.946744351945384e-4,3.3235001276872854e-4,0.010710488421744479,0.31243598010455353,0.08289114468811531
1.219943147320943e-7,4.944850878314015e-4,3.323978582750624e-4,0.009729312188040998,0.2930568566531752,0.0785976384766601
1.2200975645875946e-7,4.951768754129848e-4,3.324349791489897e-4,0.01096282602836004,0.30058363739503907,0.0812674506068822
1.2199310409957172e-7,4.950717509380417e-4,3.324146114213628e-4,0.011561517572999773,0.3157553582649042,0.08600805169915995
1.2203131650380717e-7,4.937732081460478e-4,3.3246736030923517e-4,0.010259388557219664,0.26022398150718756,0.0847844263652386
1.220215496369553e-7,4.952749275886254e-4,3.324649174910207e-4,0.009816226772387004,0.2573439820906026,0.08169853265974054
1.2197337884445415e-7,4.957127057760574e-4,3.3238498265776757e-4,0.01167138718563299,0.3369099328508836,0.08331451205622856
1.2198931139326748e-7,4.944932130594267e-4,3.3244661575506653e-4,0.00887480617243803,0.21465628477853888,0.07597920131083491
1.219638743443543e-7,4.944662574373389e-4,3.323690369132131e-4,0.008531180830858557,0.2694859371757408,0.07306910909664883
1.2190654587300512e-7,4.945238655164998e-4,3.323037951941469e-4,0.010230391870517783,0.31349827995301055,0.08077774979585052
1.22015765717339e-7,4.952822214223635e-4,3.324482539728573e-4,0.01090297936007057,0.3721906154419518,0.0808478979012688
1.21952512365467e-7,4.939997435151058e-4,3.324008876175069e-4,0.010059454765910502,0.2736757497063744,0.08027861243399813
1.2195780109613282e-7,4.949059818117107e-4,3.3233058934965804e-4,0.009037826556877779,0.320932762537902,0.07663579768736156
1.2197379489855412e-7,4.950848605920063e-4,3.323729928836862e-4,0.009883066878440757,0.2618310803745374,0.078795286134381
1.2192576461919357e-7,4.947674519497537e-4,3.323426962286339e-4,0.011379407544020483,0.29420509367262976,0.08460142174178567
1.219754488322712e-7,4.951751810794497e-4,3.3239547880864115e-4,0.010877006870705412,0.30031061561816114,0.08373993551531418
1.219482959602063e-7,4.953141713916839e-4,3.323278133866472e-4,0.01077928935099272,0.265212546285951,0.08544401615123176
1.2197103990769439e-7,4.945181031848587e-4,3.3241102180501077e-4,0.009969720774351919,0.33927652973209377,0.08037727553449554
1.2201721233038086e-7,4.943709036424761e-4,3.324462031542779e-4,0.010693832924107397,0.31415140028739885,0.08008289327472204
1.2200575292992024e-7,4.938531679327664e-4,3.3245082647697884e-4,0.010942443512458802,0.33459681344672937,0.08192902176341824
1.2196486429381715e-7,4.948612290945275e-4,3.3241626744559197e-4,0.009687831339306147,0.2828741928879744,0.07745854046703017
1.2195332038950514e-7,4.935910511439936e-4,3.323306573502636e-4,0.012590027520022005,0.291307836235679,0.09141247241477748
1.2198447729887129e-7,4.932533742959726e-4,3.324018005685528e-4,0.010046943884191232,0.2695146448244628,0.08242886584827569
1.2196918153150557e-7,4.953575260339103e-4,3.3239753281518353e-4,0.010668678679085416,0.2916584441140143,0.08380800744046506
1.219423655617801e-7,4.94486573950558e-4,3.3235050311208707e-4,0.009498300836492926,0.31893234778767504,0.07585839216797613
1.219310402820794e-7,4.95059195270637e-4,3.323264978554748e-4,0.010897330353111854,0.33761374377376074,0.08362298686414563
1.2200020585298323e-7,4.938830697214847e-4,3.32430727453129e-4,0.009875747002825074,0.37271091771549875,0.07808272951312768
1.2193518765654953e-7,4.945911526087293e-4,3.323393617707269e-4,0.011456268228613146,0.31078009557829167,0.08607376732847104
1.2195964249086672e-7,4.942419431493054e-4,3.3237398850930063e-4,0.008795783711756995,0.2782651710607334,0.07701854019175977
1.21966690379104e-7,4.944700585485585e-4,3.3238457664934673e-4,0.010341661511894452,0.2820496665118715,0.08132985963911506
1.2196600570689814e-7,4.939840492682153e-4,3.3237232284462413e-4,0.010094765945256967,0.28778238025857134,0.08050460097544844
1.2192436858383303e-7,4.954691546299899e-4,3.323625428312667e-4,0.01006075050582781,0.2864551029395657,0.08054268554330951
1.2198859936297468e-7,4.94239461730631e-4,3.324298479021865e-4,0.00843474318693958,0.2635295439675854,0.07300189645286766
1.219967416017321e-7,4.946482319747456e-4,3.324116487562138e-4,0.010665658448666042,0.2889458434313701,0.08263940772689102
1.219933037484343e-7,4.94830111141668e-4,3.3244287644653174e-4,0.010399629957888394,0.3122353530631022,0.0794789945336577
1.2198830096791222e-7,4.947108950904446e-4,3.3241377230823537e-4,0.00895473832614355,0.2768719756037303,0.0764763551303277
1.2195675403528842e-7,4.951088642436612e-4,3.323764987779564e-4,0.01038077231588882,0.38143249049267003,0.08107211465471488
1.2201289399323896e-7,4.952803660074572e-4,3.324475817507443e-4,0.012528522331975699,0.35271821329642966,0.08744951305300788
1.219946503503663e-7,4.933430864273462e-4,3.3245462814400647e-4,0.009657713922918747,0.3105825694976383,0.07700683172722066
1.2198344426209842e-7,4.948333172795453e-4,3.324031775921118e-4,0.011759292448716718,0.3167122581242589,0.08621983065587852
1.2195477307530097e-7,4.950039928005338e-4,3.32351714119402e-4,0.010696303222396699,0.3260863278029804,0.08371391549326365
1.2200394842117923e-7,4.957547014413646e-4,3.324127316704121e-4,0.009764864576462612,0.23601600896481498,0.08109883376398117
1.2198231091508744e-7,4.942037417058975e-4,3.324252008220925e-4,0.010557191012138298,0.3383316369696352,0.08173107519747963
1.220354925811502e-7,4.950173874195041e-4,3.324522434163586e-4,0.008398731832751558,0.29712956349972447,0.07355775132900567
1.2199338652971047e-7,4.944745445561108e-4,3.3245881642571826e-4,0.010110255708627862,0.29140353671795594,0.08277849630971884
1.219697545694351e-7,4.945976184782527e-4,3.323831699034951e-4,0.012262081617378318,0.3034230978174823,0.0878328874848601
