PHENOTYPE,N_SNPS,N_TARGET_SNPS,MAX_MAG_BKGRD,MEDIAN_MAG_BKGRD,AVE_MAG_BKGRD,BETA_WILCOX_PVAL,VAR_BKGRD,SUM_BKGRD,MAX_MAG_TARGET,MEDIAN_MAG_TARGET,AVE_MAG_TARGET,VAR_TARGET,SUM_TARGET,SUM_RATIO_TARGET_BKGRD
Alanine_aminotransferase,280,39,0.226757523748603,0.0209510273753738,0.02930846402573878,0.9995048237707042,0.0015597854243686337,7.063339830203045,0.0612376115485755,0.016547842318404,0.020703434178573534,5.497319069516896e-4,0.8074339329643678,0.11431333510413261
Albumin,199,20,0.272145737287138,0.0242157220650798,0.03630663527731179,0.9998728416920873,0.002635349117273863,6.49888771463881,0.0636179032032618,0.01789276015261325,0.02129868515160722,5.129053557216283e-4,0.4259737030321444,0.06554563207372152
Alkaline_phosphatase,466,62,1.47684668633624,0.02299468482228345,0.03900783529382145,0.9999958058503353,0.008597365001051124,15.759165458703865,0.0657960014961811,0.01708603266191705,0.024235350851343245,8.536334068688612e-4,1.502591752783281,0.09534716522399302
Ankle_spacing_width_left,204,33,0.28465112978022,0.0287480056328763,0.037675131418137796,0.9849044048456768,0.002168396513028935,6.442447472501564,0.0838033676048837,0.0253407249672921,0.031964159792012475,0.0012528647158474534,1.0548172731364116,0.16372927798615522
Ankle_spacing_width,449,61,0.31558785674082,0.02232058570699615,0.02981323080522013,0.9995442882929989,0.0014883421746316398,11.567533552425411,0.0845671866597925,0.0183209687127923,0.026142050357360887,9.633156816108762e-4,1.5946650717990143,0.1378569653221066
Ankle_spacing_width_right,256,71,0.277645959359789,0.0294035338877113,0.03838787270488737,0.9998902429414559,0.00222030623694907,7.101756450404164,0.090635589184351,0.0241640444537725,0.032382271321741825,0.0013412469014962131,2.2991412638436692,0.3237426233777454
Apolipoprotein_A,311,26,0.330372779543103,0.0242259118845964,0.038413663417828856,0.9999831996898395,0.0028775362592624405,10.947894074081225,0.0563597194226088,0.014203648796777699,0.02066273202365456,5.847023407566597e-4,0.5372310326150186,0.049071632313916445
Apolipoprotein_B,418,50,1.00244234061176,0.025960125704138852,0.050800163285715884,0.9999999861138865,0.009621503409890013,18.694460089143444,0.0635016401385081,0.016828792864747998,0.022746575026711,7.107590047135638e-4,1.13732875133555,0.06083774262066216
Arm_fat_free_mass_left,529,66,0.111625857898841,0.0137309497253605,0.016384337093199707,0.9999999996463537,3.7078795892668277e-4,7.585948074151465,0.0348352815741144,0.00940356917612564,0.01255253794168687,2.06242922460779e-4,0.8284675041513334,0.10921080609215779
Arm_fat_free_mass_right,637,84,0.110966447491288,0.0128226360535749,0.015932281529461623,0.9999999999933672,3.53413345134836e-4,8.810551685792277,0.0374295497511285,0.00933124862999603,0.012001432031955752,1.8754443217210699e-4,1.0081202906842832,0.11442192573592846
