METRIC,VAR_PP_CORS,MAX_ABS_PP_CORS,MEAN_ABS_PP_CORS,MEAN.DELTA.R2
PC1_ABS_COS_SIM,0.00996960509447553,0.946019029222012,0.07491049351847658,1.9105454954092353e-9
PC1_ABS_PEARSON,0.023206143608015373,0.5709919683902309,0.03422765911794293,5.058932318827807e-7
RANK_PC1_COS_SIM,0.33263207579440135,0.7198359690303354,0.8090943311454402,0.40070059792950397
RANK_PC1_PEARSON,0.23923973624146835,0.7327658502852417,0.1094350867812794,0.009253484566807782
EVEN_COS_SIM,0.4500853086469676,0.283440748201315,0.6425333936386046,2.4215401732458024e-5
EVEN_PEARSON,0.7188004068282228,0.8929162898154479,0.33369287469236797,0.13773927663118293
